ProjID,SiteID,Type,FAvialNum,Date,IceCoverCat,Transect,Depth.m,genusSpecies,Genus,species,Replicate,Tissue,VialAmount,DissectedBy,LinkedTo,Comments,EnteredBy,kingdom,phylum,class,order,family,DESCRIPTION,LAT_DEG,LAT_MIN,LON_DEG,LON_MIN,LAT_DD,LON_DD,DATE,X,LAT_DD.1,LON_DD.1
01F0001,01,FALSE,0001,2019.04.23,0.5,3,20-35,Odontaster validus,Odontaster,validus,1,"arm, no gonad",~1ml,Lowe,01S001,,AG,Animalia,Echinodermata,Asteroidea,Valvatida,Odontasteridae,Small island south of Markham Island,65,56.695,66,1.489,-65.94491667,-66.02481667,4/23/2019,NA,-65.94491667,-66.02481667
01F0002,01,FALSE,0002,2019.04.23,0.5,3,20-35,Odontaster validus,Odontaster,validus,2,"arm, no gonad",~1ml,Lowe,01S002,,,Animalia,Echinodermata,Asteroidea,Valvatida,Odontasteridae,Small island south of Markham Island,65,56.695,66,1.489,-65.94491667,-66.02481667,4/23/2019,NA,-65.94491667,-66.02481667
01F0003,01,FALSE,0003,2019.04.23,0.5,3,20-35,Odontaster validus,Odontaster,validus,3,"arm, no gonad",~1ml,Lowe,01S003,,,Animalia,Echinodermata,Asteroidea,Valvatida,Odontasteridae,Small island south of Markham Island,65,56.695,66,1.489,-65.94491667,-66.02481667,4/23/2019,NA,-65.94491667,-66.02481667
01F0004,01,FALSE,0004,2019.04.23,0.5,3,20-35,Odontaster validus,Odontaster,validus,4,"arm, no gonad",~1ml,Lowe,NA,,,Animalia,Echinodermata,Asteroidea,Valvatida,Odontasteridae,Small island south of Markham Island,65,56.695,66,1.489,-65.94491667,-66.02481667,4/23/2019,NA,-65.94491667,-66.02481667
01F0005,01,FALSE,0005,2019.04.23,0.5,3,20-35,Odontaster validus,Odontaster,validus,5,"arm, no gonad",~1ml,Lowe,NA,,,Animalia,Echinodermata,Asteroidea,Valvatida,Odontasteridae,Small island south of Markham Island,65,56.695,66,1.489,-65.94491667,-66.02481667,4/23/2019,NA,-65.94491667,-66.02481667
01F0006,01,FALSE,0006,2019.04.23,0.5,1,10-30,Nacella concinna,Nacella,concinna,1,"mantle, foot",~1ml,Lowe,01S004,,,Animalia,Mollusca,Gastropoda,NA,Nacellidae,Small island south of Markham Island,65,56.695,66,1.489,-65.94491667,-66.02481667,4/23/2019,NA,-65.94491667,-66.02481667
01F0007,01,FALSE,0007,2019.04.23,0.5,1,10-30,Nacella concinna,Nacella,concinna,2,"mantle, foot",~1ml,Lowe,01S005,,,Animalia,Mollusca,Gastropoda,NA,Nacellidae,Small island south of Markham Island,65,56.695,66,1.489,-65.94491667,-66.02481667,4/23/2019,NA,-65.94491667,-66.02481667
01F0008,01,FALSE,0008,2019.04.23,0.5,1,10-30,Nacella concinna,Nacella,concinna,3,"mantle, foot",~1ml,Lowe,01S006,,,Animalia,Mollusca,Gastropoda,NA,Nacellidae,Small island south of Markham Island,65,56.695,66,1.489,-65.94491667,-66.02481667,4/23/2019,NA,-65.94491667,-66.02481667
01F0009,01,FALSE,0009,2019.04.23,0.5,1,10-30,Nacella concinna,Nacella,concinna,4,"mantle, foot",~1ml,Lowe,NA,,,Animalia,Mollusca,Gastropoda,NA,Nacellidae,Small island south of Markham Island,65,56.695,66,1.489,-65.94491667,-66.02481667,4/23/2019,NA,-65.94491667,-66.02481667
01F0021,01,FALSE,0021,2019.04.23,0.5,1,10-30,Pycnogonid sp.,Pycnogonid,sp.,1,whole body,~0.25,Lowe,NA,,,NA,Arthropoda,NA,NA,NA,Small island south of Markham Island,65,56.695,66,1.489,-65.94491667,-66.02481667,4/23/2019,NA,-65.94491667,-66.02481667
01F0022,01,FALSE,0022,2019.04.23,0.5,1,10-30,Pycnogonid sp.,Pycnogonid,sp.,2,whole body,~0.25,Lowe,NA,,,NA,Arthropoda,NA,NA,NA,Small island south of Markham Island,65,56.695,66,1.489,-65.94491667,-66.02481667,4/23/2019,NA,-65.94491667,-66.02481667
01F0023,01,FALSE,0023,2019.04.23,0.5,1,10-30,Pycnogonid sp.,Pycnogonid,sp.,3,whole body,~0.25,Lowe,NA,small,,NA,Arthropoda,NA,NA,NA,Small island south of Markham Island,65,56.695,66,1.489,-65.94491667,-66.02481667,4/23/2019,NA,-65.94491667,-66.02481667
01F0024,01,FALSE,0024,2019.04.23,0.5,1,10-30,Pycnogonid sp.,Pycnogonid,sp.,4,whole body,~0.25,Lowe,NA,small,,NA,Arthropoda,NA,NA,NA,Small island south of Markham Island,65,56.695,66,1.489,-65.94491667,-66.02481667,4/23/2019,NA,-65.94491667,-66.02481667
01F0025,01,FALSE,0025,2019.04.23,0.5,1,10-30,Nacella concinna,Nacella,concinna,5,"mantle, foot",1 ml,Lowe,NA,gut full of red algae?,,Animalia,Mollusca,Gastropoda,NA,Nacellidae,Small island south of Markham Island,65,56.695,66,1.489,-65.94491667,-66.02481667,4/23/2019,NA,-65.94491667,-66.02481667
01F0013,01,FALSE,0013,2019.04.23,0.5,1,10,Diplasterias brucei,Diplasterias,brucei,4,tube foot section,nd,Lowe,NA,,,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Small island south of Markham Island,65,56.695,66,1.489,-65.94491667,-66.02481667,4/23/2019,NA,-65.94491667,-66.02481667
01F0014,01,FALSE,0014,2019.04.23,0.5,1,10,Diplasterias brucei,Diplasterias,brucei,5,tube foot section,nd,Lowe,NA,,,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Small island south of Markham Island,65,56.695,66,1.489,-65.94491667,-66.02481667,4/23/2019,NA,-65.94491667,-66.02481667
01F010,01,FALSE,F010,2019.04.23,0.5,1,10,Diplasterias brucei,Diplasterias,brucei,1,tube foot section,nd,Lowe,01S015,,,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Small island south of Markham Island,65,56.695,66,1.489,-65.94491667,-66.02481667,4/23/2019,NA,-65.94491667,-66.02481667
