genusSpecies,n
Acodontaster sp.,7
Adamussium colbecki,5
Alcyonium antarcticum,17
Arctarid sp.,1
Ascoseira mirabilis,3
Benthic diatoms,3
Bovallia gigantea,15
Camptoplites sp.,3
Charcotia obesa,1
Cnemidocarpa sp.,48
Colossendeis australis,4
Cuenotaster involutus,14
Dendrilla membranosa,33
Desmarestia anceps,10
Desmarestia antarctica,5
Desmarestia menziesii,28
Diatom benthic,5
Diplasterias brucei,5
Doris kerguelenensis,20
Echinopsolus acanthocola,3
Eurymera monticulosa,4
Eusirus bouvieri,3
Eusirus sp.,3
Flabelligera cf. mundata,5
Flabelligera sp.,6
Glabraster antarctica,23
Glyptonotus antarcticus,9
Gondogeneia antarctica,26
Heterocucumis sp.,4
Heterocucumis steineni,20
Himantothallus grandifolius,15
Holothuroidea sp.,4
Hymenocladiopsis sp.,21
Iridaea cordata,19
Isotealia antarctica,30
Labidiaster annulatus,14
Liothyrella sp.,3
Lysianassid sp.,3
Margarella antarctica,18
Marseniopsis mollis,12
Metaleptamphopus pectinatus,6
Munnid isopod,3
Myriogramme manginii,20
Nacella concinna,62
Nematoflustra sp.,2
Neosmilaster georgianus,26
Nuttallochiton mirandus,2
Nymphon sp.,5
Odontaster validus,69
Oradarea bidentata,5
Oraderea sp.,3
Paraceradocus miersi,1
Paradexamine fissicauda,4
Pariphimedia integricauda,5
Perknaster aurorae,11
Perknaster fuscus,29
Phorbas bergmontae,5
Phyllophora antarctica,30
Plocamium cartilagineum,20
Polynoidae sp.,22
Promachocrinus kerguelensis,5
Prostebbingia brevicornis,15
Prostebbingia gracilis,18
Pycnogonid sp.,5
Schraderia gracilis,5
Sterechinus neumayeri,45
Terebellidae sp.,18
Trematocarpus antarcticus,1
