SiteID,DESCRIPTION,LAT_DEG,LAT_MIN,LON_DEG,LON_MIN,LAT_DD,LON_DD,DATE,,LAT_DD,LON_DD
1,Small island south of Markham Island,65,56.695,66,1.489,-65.94491667,-66.02481667,4/23/2019,,-65.94491667,-66.02481667
2,Small island between Pourqoui Pas and Blaiklock Islands,67,33.4,67,14.833,-67.55666667,-67.24721667,4/27/2019,,-67.55666667,-67.24721667
3,Randall Rocks off Millerand Island,68,10.546,67,16.094,-68.17576667,-67.26823333,4/28/2019,,-68.17576667,-67.26823333
4,Dumbbell Island in the Terra Firma Islands,68,41.525,67,31.613,-68.69208333,-67.52688333,4/29/2019,,-68.69208333,-67.52688333
5,Small island off a small island to the north of Pinero Island,67,32.929,67,46.282,-67.54881667,-67.77136667,4/30/2019,,-67.54881667,-67.77136667
6,Tutton Point on Laird Island,66,52.639,67,34.512,-66.87731667,-67.5752,5/2/2019,,-66.87731667,-67.5752
7,Southern Saffery Islands,66,5.365,65,50.313,-66.08941667,-65.83855,5/4/2019,,-66.08941667,-65.83855
8,Small island to the norht of Lahille Island and south of Lippmann Island,65,30.787,64,25.216,-65.51311667,-64.42026667,5/5/2019,,-65.51311667,-64.42026667
9,Pleneau Island (just off penguin colony on SE corner),65,6.255,64,2.823,-65.10425,-64.04705,5/7/2019,,-65.10425,-64.04705
10,Wauwermans Islands,64,54.01,63,51.188,-64.90016667,-63.85313333,5/10/2019,,-64.90016667,-63.85313333
11,Limitrophe Island,64,47.592,64,0.434,-64.7932,-64.00723333,5/14/2019,,-64.7932,-64.00723333
12,Joubin Islands,64,46.317,64,22.191,-64.77195,-64.36985,5/15/2019,,-64.77195,-64.36985
13,Minnow Islands (part of Fish Islands South of Prospect Point),66,1.503,65,21.2,-66.02505,-65.35333333,5/16/2019,,-66.02505,-65.35333333
14,SE Bonaparte,64,46.756,64,2.645,-64.77926667,-64.04408333,5/17/2019,,-64.77926667,-64.04408333
15,Argentine Islands near Vernadsky,65,14.411,64,13.852,-65.24018333,-64.23086667,5/18/2019,,-65.24018333,-64.23086667
