Number_ID,Sample,Name,Status,Found_RT,Actual_Ret_Index,Conc,Unit,m/z,Area,Noise,Ref_1_m/z,Ref_1_Range,Ref_1_Set_Ratio,Ref_1_Actual_Ratio,Ref_1_Measured,Ref_1_Noise,Ref_2_m/z,Ref_2_Range,Ref_2_Set_Ratio,Ref_2_Actual_Ratio,Ref_2_Measured,Ref_2_Noise,Ref_3_m/z,Ref_3_Range,Red_3_Set_Ratio,Ref_3_Actual_Ratio,Ref_3_Measured,Ref_3_Noise,Mode,RT,RT_Percent_Diff,RT_Diff,Concentrations,Date_Insight_Anal,Notes
1,HIGR_10F0836_0130_5252020_22,c13.1,Accept,----,----,----,ng/ul,55,----,1940.5,228,0.00 - 26.29,6.29,0.33,3,1940.5,87,42.07 - 82.07,62.07,0,0,1940.5,69,0.00 - 31.14,11.14,39.93,359,1940.5,No peak identified,12.53,----,----,"0.3, 1, 2, 5",2021-05-12,----
2,HIGR_10F0836_0130_5252020_22,c14.0,Accept,13.296,0,3.4754,ng/ul,74,1476186,104453.95,87,44.14 - 84.14,64.14,61.52,398290,104453.95,143,8.20 - 48.20,28.2,20.5,132730,104453.95,242,0.00 - 29.05,9.05,4.33,28002,104453.95,Auto,13.33,-0.26,-0.034,"0.6, 2, 4, 10",2021-05-12,----
3,HIGR_10F0836_0130_5252020_22,c14.1,Accept,13.813,0,0.3204,ng/ul,55,51748,4325.07,87,44.14 - 84.14,64.14,35.49,7636,4325.07,143,8.21 - 48.21,28.21,3.17,681,4325.07,242,0.00 - 29.05,9.05,0,0,4325.07,Manual Integrate,13.99,-1.27,-0.178,"0.15, 0.5, 1, 2.5",2021-05-12,----
4,HIGR_10F0836_0130_5252020_22,i15.0,Accept,----,----,----,ng/ul,74,----,720.33,87,51.92 - 91.92,71.92,22.15,772,720.33,43,12.33 - 52.33,32.33,18.27,637,720.33,256,0.00 - 30.79,10.79,0.26,9,720.33,Ratio of reference ion does not match,7,----,----,----,2021-05-12,----
5,HIGR_10F0836_0130_5252020_22,c15.0,Accept,15.16,0,0.2796,ng/ul,74,115737,7294.78,87,46.44 - 86.44,66.44,64.24,26685,7294.78,143,4.04 - 44.04,24.04,18.43,7656,7294.78,256,0.00 - 31.47,11.47,5.47,2270,7294.78,Auto,15.2,-0.26,-0.04,"0.45, 1.5, 3, 7.5",2021-05-12,----
6,HIGR_10F0836_0130_5252020_22,i16.0,Accept,----,----,----,ng/ul,74,----,720.33,87,49.12 - 89.12,69.12,----,----,----,270,0.00 - 33.76,13.76,----,----,----,143,5.45 - 45.45,25.45,----,----,----,No peak identified,7,----,----,----,2021-05-12,----
7,HIGR_10F0836_0130_5252020_22,c16.0,Accept,17.517,0,14.8376,ng/ul,74,5906587,302361.11,87,46.92 - 86.92,66.92,66.32,947577,302361.11,143,5.16 - 45.16,25.16,19.96,285235,302361.11,270,0.00 - 33.68,13.68,6.8,97140,302361.11,Auto,17.52,-0.02,-0.003,"0.75, 2.5, 5, 12.5",2021-05-12,----
8,HIGR_10F0836_0130_5252020_22,c16.1n13,Accept,----,----,----,ng/ul,55,----,288.3,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,No peak identified,7,----,----,----,2021-05-12,----
9,HIGR_10F0836_0130_5252020_22,c16.1n9,Accept,----,----,----,ng/ul,55,----,288.3,55,88.10 - 128.10,108.1,100,955,288.3,69,57.99 - 97.99,77.99,129.11,1233,288.3,268,0.00 - 28.60,8.6,2.3,22,288.3,No peak identified,7,----,----,----,2021-05-12,----
10,HIGR_10F0836_0130_5252020_22,c16.1n7c,Accept,----,----,----,ng/ul,55,----,28752.05,69,97.80 - 137.80,117.8,71.43,86291,28752.05,268,0.00 - 30.37,10.37,2.78,3359,28752.05,----,----,----,----,----,----,No peak identified,18.22,----,----,"0.15, 0.5, 1, 2.5",2021-05-12,----
