,C12:0,C12:0,C14:0,C14:0,C14:1w5,C14:1w5,C15:0,C15:0,C16:0,C16:0,C16:1w7c,C16:1w7c,C16:2w6,C16:2w6,C16:2w6,C16:2w6,C17:0,C17:0,C16:3n4,C16:3n4,C16:3n3,C16:3n3,C16:4n3,C16:4n3,C16:4w1,C16:4w1,C18:0,C18:0,C18:1w9c,C18:1w9c,C18:1w7c,C18:1w7c,C18:1n,C18:1n,C18:2w6c,C18:2w6c,C18:3w6,C18:3w6,C19:0,C19:0,C18:3w3,C18:3w3,C18:4w3,C18:4w3,C18:5w3,C18:5w3,C20:0,C20:0,C20:4w6,C20:4w6,C20:4w3,C20:4w3,C20:5w3,C20:5w3,C22:0,C22:0,C22:5w3,C22:5w3,C22:6w3,C22:6w3
data filename,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc
ANTSEA_001_DEMES.qgd,"3,930",0.03,"2,322,698",4.95,"20,996",0.18,"44,371",0.32,"5,081,315",11.25,"64,510",0.46,"2,303",0.01,"39,399",0.18,"38,611",0.32,"2,375",0.01,,,,,"5,707",0.02,"502,604",1.43,"1,284,387",7.41,"21,798",0.31,"16,821",0.08,"638,987",3.31,"62,589",0.67,"10,231,672",20.81,"1,289,993",5.16,"1,660,321",6.43,,,"364,017",1.2,"2,997,254",14.73,"124,715",0.55,"2,439,087",11.27,"5,914",0.14,-----,-----,"3,157",0.95
ANTSEA_002_DEAN.qgd,"7,710",0.04,"2,969,011",6.28,"15,761",0.16,"73,648",0.38,"3,046,709",6.88,"227,328",1.33,"1,884",0.01,"93,730",0.42,"14,491",0.27,"61,182",0.24,,,,,"202,203",0.78,"391,228",1.19,"641,534",3.92,"24,926",0.32,"10,145",0.05,"450,037",2.45,"33,783",0.52,"10,320,826",20.99,"453,647",1.92,"815,232",3.16,,,"215,432",0.85,"1,068,344",5.62,"2,728",0.01,"1,453,857",6.91,"5,203",0.14,-----,-----,-----,-----
ANTSEA_003_DEAN.qgd,"14,325",0.05,"5,685,759",11.87,-----,-----,"67,961",0.37,"3,234,439",7.29,"267,697",1.55,"4,847",0.02,"96,299",0.44,"18,439",0.27,"59,859",0.23,,,,,"149,829",0.58,"451,181",1.32,"1,018,978",5.97,"22,341",0.31,"24,312",0.11,"941,600",4.67,"83,967",0.77,"10,675,117",21.71,"746,688",3.06,"1,342,669",5.2,,,"289,721",1.03,"2,698,712",13.32,"26,512",0.12,"2,194,247",10.19,"5,215",0.14,-----,-----,"3,170",0.95
ANTSEA_004_DEAN.qgd,"5,277",0.03,"2,521,028",5.36,"12,851",0.15,"35,495",0.3,"2,530,872",5.78,"157,785",0.96,"3,004",0.01,"42,161",0.19,"12,910",0.26,"25,135",0.1,,,,,"50,330",0.2,"289,593",0.97,"543,221",3.38,"30,361",0.35,"8,319",0.04,"414,312",2.29,"43,214",0.57,"9,660,722",19.66,"484,501",2.04,"971,960",3.77,,,"163,978",0.74,"1,034,826",5.47,"17,638",0.08,"1,306,272",6.25,"3,041",0.13,-----,-----,-----,-----
ANTSEA_005_TRAN.qgd,"11,435",0.05,"370,569",0.93,-----,-----,"73,870",0.38,"6,211,491",13.67,"20,789",0.22,-----,-----,-----,-----,"29,299",0.3,796,0,,,,,-----,-----,"237,090",0.85,"52,534",0.72,"6,559",0.24,-----,-----,"17,345",0.5,-----,-----,"9,509,340",19.36,"3,924",0.18,-----,-----,,,"4,151",0.36,"1,434,439",7.35,-----,-----,"618,973",3.21,-----,-----,-----,-----,-----,-----
ANTSEA_006_GISK.qgd,"3,075",0.03,"43,920",0.26,-----,-----,"12,741",0.26,"879,184",2.23,"15,588",0.19,-----,-----,-----,-----,"6,361",0.25,180,0,,,,,-----,-----,"152,164",0.67,"52,831",0.72,"6,148",0.24,-----,-----,"3,593",0.43,-----,-----,"9,885,371",20.12,-----,-----,-----,-----,,,"3,169",0.36,"153,623",1.31,-----,-----,"196,106",1.34,-----,-----,-----,-----,-----,-----
ANTSEA_007_GISK.qgd,"6,043",0.03,"84,307",0.34,-----,-----,"16,302",0.26,"1,475,430",3.51,379,0.11,-----,-----,-----,-----,"7,212",0.25,-----,-----,,,,,-----,-----,"129,864",0.62,823,0.44,-----,-----,-----,-----,-----,-----,-----,-----,"9,128,288",18.59,-----,-----,-----,-----,,,"3,090",0.36,"3,463",0.6,-----,-----,"2,469",0.48,-----,-----,-----,-----,-----,-----
ANTSEA_008_GISK.qgd,"5,903",0.03,"78,499",0.33,-----,-----,"29,033",0.29,"1,569,789",3.72,"2,876",0.12,-----,-----,-----,-----,"9,357",0.25,163,0,,,,,87,0,"134,367",0.63,"10,203",0.49,"1,153",0.21,-----,-----,-----,-----,-----,-----,"9,319,990",18.98,-----,-----,-----,-----,,,"3,470",0.36,"33,127",0.74,-----,-----,"52,949",0.7,-----,-----,-----,-----,-----,-----
ANTSEA_009_HIGR.qgd,"1,401",0.02,"889,241",2,"48,612",0.31,"36,092",0.3,"4,272,260",9.51,"190,277",1.13,"12,164",0.06,"10,837",0.05,"18,821",0.27,"3,399",0.01,,,,,"6,149",0.02,"315,691",1.02,"1,089,984",6.36,"4,342",0.23,"19,140",0.09,"360,862",2.05,"29,889",0.51,"9,583,963",19.51,"283,421",1.26,"361,449",1.4,,,"218,883",0.86,"2,085,061",10.42,"5,866",0.03,"392,705",2.21,-----,-----,"203,544",1.89,-----,-----
