Sample,C12:0,C14:0,C14:1w5,C15:0,C16:0,C16:1w7c,C16:2w6,C16:2w6,C17:0,C16:3n4,C16:4w1,C18:0,C18:1w9c,C18:1w7c,C18:1n,C18:2w6c,C18:3w6,C19:0,C18:3w3,C18:4w3,C18:5w3,C20:0,C20:4w6,C20:4w3,C20:5w3,C22:0,C22:5w3,C22:6w3
DEME_03F0154_0033_342020_7.qgd,18167,2510471,25877,117273,11639830,139105,4229,81060,73392,18908,10223,2068055,2286220,32217,56734,1811415,52350,15535879,2149751,2276702,0,432712,6312724,313363,4478223,12524,6959,7999
DEME_04F0245_0034_342020_27.qgd,24034,7470654,21362,227107,14948475,2317115,150448,1302786,51720,3657915,2794724,1525757,2857419,63539,48725,1948007,209921,15070972,3174368,5898954,0,454375,6366325,447595,16387567,11597,2749,433650
DEME_12F1165_0090_342020_21.qgd,17732,6831798,24967,92076,9693805,262519,8467,81178,85564,6392,4431,3018379,6171168,56594,52551,2056357,150965,16550895,2175699,2459591,0,1523682,8453428,463494,4646106,15476,336,-----
DEME_13F1242_0087_342020_22.qgd,15904,3816756,66336,234151,12942448,233911,11524,177455,86310,38064,43079,586603,3015682,75469,62533,1393509,72586,17973718,3297356,4091518,0,680452,6605495,834169,5285272,19281,587,8685
DEME_14F1312_0088_342020_12.qgd,23587,11114682,43557,91238,18653113,632136,13054,228772,141932,15520,23510,4134361,10416767,116804,163059,4659761,339093,19391694,4969554,6433401,0,1879275,14714105,520443,8820374,20878,8433,-----
DEME_15F1416_0089_342020_13.qgd,22901,5614483,34510,147036,18136959,310879,12317,227542,116840,38835,67426,952098,4670296,98441,127298,2810215,286967,19469033,5376109,7709167,0,661576,12331670,655409,9521721,16244,5981,18259
HIGR_07F0558_0050_342020_26.qgd,14816,2926383,38726,198349,11227516,622724,48540,52427,91011,32918,102901,2286422,2191923,19672,36421,807499,84456,17158616,2315531,3943543,0,812478,5998942,357731,3899087,18029,1152219,-----
HIGR_11F0992_0124_342020_18.qgd,11519,3202088,89577,218152,10176508,820098,54648,66534,68376,28656,91626,626379,2035939,17727,44661,1002866,67761,15607701,2473295,3440759,0,924667,5652316,162814,3750393,15667,1844156,320
HIGR_12F1091_0125_342020_16.qgd,11476,2073498,83650,156351,8950115,789852,60337,37198,50133,35423,84697,542953,1448576,20800,25513,622452,71379,16388278,1468722,2218187,0,937992,4261080,193196,2594339,20438,964695,-----
IRCO_08F0676_0069_342020_10.qgd,18412,164062,-----,21732,2398943,43860,-----,1898,7511,1245,2961,214356,100160,15618,-----,43901,10865,14345684,6829,10570,0,5169,298883,2350,1508801,-----,-----,-----
