sample,batch,FA,proportion,notes
LAAN_14F1209_0244,batch_11,8:0,3.15594529886085E-05,PUFA16
LAAN_14F1209_0244,batch_11,9:0,0.00079759344825756,PUFA16
LAAN_14F1209_0244,batch_11,10:0,0.000103285482508173,PUFA16
LAAN_14F1209_0244,batch_11,11:0,3.15594529886085E-05,PUFA16
LAAN_14F1209_0244,batch_11,11:1,6.02498647964344E-05,PUFA16
LAAN_14F1209_0244,batch_11,12:0,0.00105580715452799,PUFA16
LAAN_14F1209_0244,batch_11,13:0,0,PUFA16
LAAN_14F1209_0244,batch_11,13:1,0,PUFA16
LAAN_14F1209_0244,batch_11,i-14:0,0,PUFA16
LAAN_14F1209_0244,batch_11,14:0,0.0185124882189997,PUFA16
LAAN_14F1209_0244,batch_11,14:1,0,PUFA16
LAAN_14F1209_0244,batch_11,14:1w5,0,PUFA16
LAAN_14F1209_0244,batch_11,i-15:0,0,PUFA16
LAAN_14F1209_0244,batch_11,a-15:0,0,PUFA16
LAAN_14F1209_0244,batch_11,15:0,0.00104576551039525,PUFA16
LAAN_14F1209_0244,batch_11,15:1w7,0,PUFA16
LAAN_14F1209_0244,batch_11,15:1w5,0,PUFA16
LAAN_14F1209_0244,batch_11,i-16:0,0,PUFA16
LAAN_14F1209_0244,batch_11,16:0,0.148432714528968,PUFA16
LAAN_14F1209_0244,batch_11,16:1w13,0,PUFA16
LAAN_14F1209_0244,batch_11,16:1w9,0,PUFA16
LAAN_14F1209_0244,batch_11,16:1w7t,0,PUFA16
LAAN_14F1209_0244,batch_11,16:1w8c,0,PUFA16
LAAN_14F1209_0244,batch_11,16:1w7c,0.0516226579658211,PUFA16
LAAN_14F1209_0244,batch_11,16:1w6c,0,PUFA16
LAAN_14F1209_0244,batch_11,16:1w5t,0,PUFA16
LAAN_14F1209_0244,batch_11,16:1w5c,0,PUFA16
LAAN_14F1209_0244,batch_11,16:2w6,0,PUFA16
LAAN_14F1209_0244,batch_11,14:4w3,0,PUFA16
LAAN_14F1209_0244,batch_11,i-17:0,0,PUFA16
LAAN_14F1209_0244,batch_11,a-17:0,0,PUFA16
LAAN_14F1209_0244,batch_11,16:2w5,0,PUFA16
LAAN_14F1209_0244,batch_11,16:2w4,0.0104390063362774,PUFA16
LAAN_14F1209_0244,batch_11,17:0,0.00041027288885191,PUFA16
LAAN_14F1209_0244,batch_11,16:3w4,0.0470809657766423,PUFA16
LAAN_14F1209_0244,batch_11,16:3w3,0.185556672887704,PUFA16
LAAN_14F1209_0244,batch_11,17:1w9c,0,PUFA16
LAAN_14F1209_0244,batch_11,17:1w7c,0,PUFA16
LAAN_14F1209_0244,batch_11,16:4w3,0.00164252607599803,PUFA16
LAAN_14F1209_0244,batch_11,16:4w1,0.0209526077432552,PUFA16
LAAN_14F1209_0244,batch_11,17:2,0,PUFA16
LAAN_14F1209_0244,batch_11,18:0,0.0108492792251294,PUFA16
LAAN_14F1209_0244,batch_11,18:1w9t,0,PUFA16
LAAN_14F1209_0244,batch_11,18:1w9c,0.0101937033153205,PUFA16
LAAN_14F1209_0244,batch_11,18:1w8c,0,PUFA16
LAAN_14F1209_0244,batch_11,18:1w7c,0.0510129867149048,PUFA16
LAAN_14F1209_0244,batch_11,18:1w5c,0,PUFA16
LAAN_14F1209_0244,batch_11,18:1w6c,0,PUFA16
LAAN_14F1209_0244,batch_11,"18:2w7,12c",0,PUFA16
LAAN_14F1209_0244,batch_11,18:2w6t,0,PUFA16
LAAN_14F1209_0244,batch_11,18:2w6c,0.041885132198245,PUFA16
LAAN_14F1209_0244,batch_11,18:2w3,0,PUFA16
LAAN_14F1209_0244,batch_11,18:2,0,PUFA16
LAAN_14F1209_0244,batch_11,18:3w6,0.00216899513267164,PUFA16
LAAN_14F1209_0244,batch_11,18:3w4,0,PUFA16
LAAN_14F1209_0244,batch_11,19:0,0.255072106177476,PUFA16
LAAN_14F1209_0244,batch_11,18:3w3,0.208993870293517,PUFA16
LAAN_14F1209_0244,batch_11,18:3w1,0,PUFA16
LAAN_14F1209_0244,batch_11,18:4w3c,0.00590879031182174,PUFA16
LAAN_14F1209_0244,batch_11,18:4w1,0,PUFA16
LAAN_14F1209_0244,batch_11,18:5w3,0,PUFA16
LAAN_14F1209_0244,batch_11,20:0,0,PUFA16
LAAN_14F1209_0244,batch_11,20:1w11,0,PUFA16
LAAN_14F1209_0244,batch_11,20:1w9,0.00284465433074594,PUFA16
LAAN_14F1209_0244,batch_11,20:1w7,0,PUFA16
LAAN_14F1209_0244,batch_11,20:1w5,0,PUFA16
