"","x"
"1","Phyllophora antarctica"
"2","Iridaea cordata"
"3","Myriogramme manginii"
"4","Plocamium cartilagineum"
"5","Desmarestia anceps"
"6","Himantothallus grandifolius"
"7","Desmarestia menziesii"
"8","Desmarestia antarctica"
"9","Ascoseira mirabilis"
"10","Trematocarpus antarcticus"
"11","Picconiella plumosa"
"12","Georgiella confluens"
"13","Gigartina skottsbergii"
"14","Pantoneura plocamioides"
"15","Cystosphaera jacquinotii"
"16","Cystoclonium obtusangulum"
"17","Myriogramme smithii"
"18","Paraglossum salicifolium"
"19","Ballia callitricha"
"20","Gymnogongrus antarcticus"
"21","Lambia antarctica"
"22","Pachymenia orbicularis"
"23","Phycodrys austrogeorgica"
"24","Callophyllis atrosanguinea"
"25","Syringoderma australe"
"26","Delisea pulchra"
"27","Adenocystis utricularis"
