genusSpecies,n
Acodontaster sp.,7
Adamussium colbecki,5
Adenocystis utricularis,2
Alcyonium antarcticum,17
Amauropsis rossiana,1
Arctarid sp.,1
Ascoseira mirabilis,3
Austropugetia crassa,3
Ballia callitricha,3
Benthic diatoms,14
Bovallia gigantea,29
Callophyllis atrosanguinea,6
Camptoplites sp.,3
Charcotia obesa,1
Cnemidocarpa sp.,67
Colossendeis australis,4
Cuenotaster involutus,18
Curdiea racovitzae,4
Cystoclonium obtusangulum,7
Cystosphaera jacquinotii,5
Delisea pulchra,1
Dendrilla membranosa,49
Desmarestia anceps,20
Desmarestia antarctica,10
Desmarestia menziesii,50
Diplasterias brucei,5
Doris kerguelenensis,27
Echinopsolus acanthocola,3
Eurymera monticulosa,4
Eusirus bouvieri,3
Eusirus sp.,13
Flabelligera cf. mundata,5
Flabelligera sp.,11
Georgiella confluens,6
Gigartina skottsbergii,11
Glabraster antarctica,28
Glyptonotus antarcticus,14
Gondogeneia antarctica,34
Gymnogongrus antarcticus,2
Heterocucumis sp.,4
Heterocucumis steineni,20
Himantothallus grandifolius,37
Holothuroidea sp.,4
Hymenocladiopsis sp.,24
Iridaea cordata,37
Isotealia antarctica,35
Labidiaster annulatus,19
Laevilacunaria antarctica,3
Lambia antarctica,5
Liothyrella sp.,3
Lysianassid sp.,3
Margarella antarctica,33
Marseniopsis mollis,12
Metaleptamphopus pectinatus,17
Munnid isopod,3
Myriogramme manginii,29
Myriogramme smithii,5
Nacella concinna,102
Nematoflustra sp.,2
Neosmilaster georgianus,47
Nuttallochiton mirandus,2
Nymphon sp.,5
Octopus/Stubby Squid sp.,1
Odontaster validus,103
Oradarea bidentata,5
Oraderea cf. bidentata,5
Oraderea sp.,15
Pachymenia orbicularis,3
Palmaria decipiens,4
Pantoneura plocamioides,5
Paraceradocus miersi,6
Paradexamine fissicauda,12
Paraglossum salicifolium,1
Pariphimedia integricauda,11
Perknaster aurorae,20
Perknaster fuscus,45
Perknaster sp.,1
Phorbas bergmontae,5
Phycodrys austrogeorgica,2
Phyllophora antarctica,33
Picconiella plumosa,4
Plocamium cartilagineum,39
Polynoidae sp.,30
Porphyra plocamiestris,5
Promachocrinus kerguelensis,5
Prostebbingia brevicornis,21
Prostebbingia gracilis,30
Psilaster charcoti,2
Pycnogonid sp.,5
Rhodokrambe lanigioides,5
Schraderia gracilis,5
Serolis sp.,5
Sterechinus neumayeri,56
Syringoderma australe,5
Terebellidae sp.,23
Trematocarpus antarcticus,21
Unknown amphipod 1 sp.,3
