original field ID,confirmed ID,Unique ID,Fatty acids (F)
Odontaster validus,Odontaster validus,01-S-001,01-F-0001
Odontaster validus,Odontaster validus,01-S-002,01-F-0002
Odontaster validus,Odontaster validus,01-S-003,01-F-0003
Neosmilaster georgianus,Neosmilaster georgianus,01-S-010,01-F-0032
Neosmilaster georgianus,Neosmilaster georgianus,01-S-011,01-F-0033
Diplasterias brucei,Diplasterias brucei,01-S-013,01-F-0012
Diplasterias brucei,Diplasterias brucei,01-S-014,01-F-0011
Diplasterias brucei,Diplasterias brucei,01-S-015,01-F-0010
Odontaster validus,Odontaster validus,02-S-005,02-F-0069
Odontaster validus,Odontaster validus,02-S-006,02-F-0070
Odontaster validus,Odontaster validus,02-S-007,02-F-0071
Porania antarctica glabra,Porania antarctica glabra,02-S-017,02-F-0082
Porania antarctica glabra,Porania antarctica glabra,02-S-018,02-F-0084
Porania antarctica glabra,Porania antarctica glabra,02-S-019,02-F-0085
Cuenotaster involutus,Cuenotaster involutus,02-S-020,02-F-0090
Cuenotaster involutus,Cuenotaster involutus,02-S-021,02-F-0091
Perknaster fuscus,Diplasterias brandti,02-S-022,02-F-0092
Perknaster fuscus,Diplasterias brandti,02-S-023,02-F-0093
Perknaster fuscus,Diplasterias brandti,02-S-024,02-F-0094
Cuenotaster involutus,Cuenotaster involutus,03-S-004,03-F-0140
Cuenotaster involutus,Cuenotaster involutus,03-S-005,03-F-0141
Perknaster aurorae,Perknaster aurorae,03-S-006,03-F-0152
Neosmilaster georgianus,Neosmilaster georgianus,03-S-007,03-F-0142
Neosmilaster georgianus,Neosmilaster georgianus,03-S-008,03-F-0143
Neosmilaster georgianus,Neosmilaster georgianus,03-S-009,03-F-0144
Perknaster fuscus,Diplasterias brandti,03-S-010,03-F-0149
Perknaster fuscus,Diplasterias brandti,03-S-011,03-F-0148
Perknaster fuscus,Diplasterias brandti,03-S-012,03-F-0147
Odontaster validus,Odontaster validus,03-S-013,03-F-0153
Odontaster validus,Odontaster validus,03-S-018,03-F-0161
Odontaster validus,Odontaster validus,03-S-019,03-F-0160
Odontaster validus,Odontaster validus,04-S-010,04-F-0249
Odontaster validus,Odontaster validus,04-S-011,04-F-0250
Odontaster validus,Odontaster validus,04-S-012,04-F-0251
Perknaster aurorae,Perknaster aurorae,05-S-001,05-F-0281
Perknaster aurorae,Perknaster aurorae,05-S-002,05-F-0282
Perknaster aurorae,Perknaster aurorae,05-S-003,05-F-0283
Perknaster fuscus,Diplasterias brandti,05-S-004,05-F-0286
Perknaster fuscus,Diplasterias brandti,05-S-005,05-F-0287
Perknaster fuscus,Diplasterias brandti,05-S-006,05-F-0288
Odontaster validus,Odontaster validus,05-S-007,05-F-0296
Odontaster validus,Odontaster validus,05-S-008,05-F-0297
Odontaster validus,Odontaster validus,05-S-009,05-F-0298
Porania antarctica glabra,Porania antarctica glabra,05-S-016,05-F-0304
Porania antarctica glabra,Porania antarctica glabra,05-S-017,05-F-0305
Porania antarctica glabra,Porania antarctica glabra,05-S-018,05-F-0306
