Sample,Name,Conc,Ret.time,Ret.index,Type,m/z,Area,Height,Unit,Group,Date.anal,Notes
HIGR_10F0836_0130_5252020_22,c13.1,Ratio of reference ion does not match.,0,0,Target,55,0,0,ng/ul,bsides,2021-04-28,
HIGR_10F0836_0130_5252020_22,c14.0,3.4754,13.296,0,Target,74,1476186,667598,ng/ul,bsides,2021-04-28,
HIGR_10F0836_0130_5252020_22,c14.1,Ratio of reference ion does not match.,0,0,Target,55,0,0,ng/ul,bsides,2021-04-28,
HIGR_10F0836_0130_5252020_22,i15.0,Ratio of reference ion does not match.,0,0,Target,74,0,0,ng/ul,bsides,2021-04-28,
HIGR_10F0836_0130_5252020_22,c15.0,0.2796,15.16,0,Target,74,115737,41376,ng/ul,bsides,2021-04-28,
HIGR_10F0836_0130_5252020_22,i16.0,No peak is identified.,0,0,Target,74,0,0,ng/ul,bsides,2021-04-28,
HIGR_10F0836_0130_5252020_22,c16.0,14.8376,17.517,0,Target,74,5906587,1432463,ng/ul,bsides,2021-04-28,
HIGR_10F0836_0130_5252020_22,c16.1n13,No peak is identified.,0,0,Target,55,0,0,ng/ul,bsides,2021-04-28,
HIGR_10F0836_0130_5252020_22,c16.1n9,No peak is identified.,0,0,Target,55,0,0,ng/ul,bsides,2021-04-28,
HIGR_10F0836_0130_5252020_22,c16.1n7c,Ratio of reference ion does not match.,0,0,Target,55,0,0,ng/ul,bsides,2021-04-28,
HIGR_10F0836_0130_5252020_22,c16.1n6c,No peak is identified.,0,0,Target,55,0,0,ng/ul,bsides,2021-04-28,
HIGR_10F0836_0130_5252020_22,i17.0,Ratio of reference ion does not match.,0,0,Target,74,0,0,ng/ul,bsides,2021-04-28,
HIGR_10F0836_0130_5252020_22,a17.0,Ratio of reference ion does not match.,0,0,Target,74,0,0,ng/ul,bsides,2021-04-28,
HIGR_10F0836_0130_5252020_22,c16.2n5,Ratio of reference ion does not match.,0,0,Target,67,0,0,ng/ul,bsides,2021-04-28,
HIGR_10F0836_0130_5252020_22,c17.0,0.1193,20.232,0,Target,74,46026,11429,ng/ul,bsides,2021-04-28,
HIGR_10F0836_0130_5252020_22,c17.1n9c,Ratio of reference ion does not match.,0,0,Target,55,0,0,ng/ul,bsides,2021-04-28,
