,Devaleraea ramentacea,Palmaria palmata,Palmaria decipiens,Gymnogongrus turquetii,Gigartina skottsbergii,Audouinella purpurea,Rhodymenia subantarctica,Hymenocladioposis crustigena
14:0,9.8,5.7,9.4,1.9,2.2,1.5,7.5,3.5
15:0,0.6,–,0.5,0.2,0.4,–,–,0.5
16:0,25.5,19.4,20.9,29.4,28.4,23.6,20.5,30.4
16:1(n-7),9.0,0.3,2.8,3.1,5.5,0.9,32.7,4.4
16:1(n-5),–,–,–,–,–,–,–,0.3
16:2(n-4),0.4,–,–,–,0.4,–,1.8,0.6
16:3(n-4),–,–,–,0.1,0.5,–,–,0.5
16:4(n-1),0.4,–,–,–,0.5,–,0.7,1.4
18:0,1.1,0.4,0.9,0.5,0.8,–,1.6,0.6
18:1(n-9),7.5,2.1,7.0,3.3,10.7,2.0,12.5,3.9
18:1(n-7),3.1,3.2,4.8,1.5,2.5,1.6,4.8,1.7
18:2(n-6),3.4,0.5,0.4,3.6,0.7,0.6,0.9,3.4
18:3(n-3),4.1,–,0.2,–,–,–,1.1,0.8
18:4(n-3),6.7,–,0.4,–,–,–,4.1,1.8
20:4(n-6),1.9,1.1,2.2,11.5,22.2,9.4,1.0,8.5
20:4(n-3),0.6,–,–,–,–,–,–,–
20:5(n-3),24.2,67.3,49.8,44.3,25.2,60.3,10.8,37.3
22:6(n-3),1.6,–,0.7,0.5,–,–,–,0.5
