Data Filename,Sample Type,FA,Ret Time,Area,Height,Conc,,,Area %,Height %,,Notes
DEME_03F0154_0033_342020_7.qgd,Unknown,8:0,6.202,2930,1208,0.0048,-----,-----,66.6667,64.358,1,
DEME_04F0245_0034_342020_27.qgd,Unknown,8:0,6.205,4120,1503,0.0067,-----,-----,87.4363,81.3752,1,
DEME_12F1165_0090_342020_21.qgd,Unknown,8:0,6.205,3827,1463,0.0062,-----,-----,87.6948,89.3162,1,
DEME_13F1242_0087_342020_22.qgd,Unknown,8:0,6.205,3689,1197,0.006,-----,-----,53.8619,49.668,1,
DEME_14F1312_0088_342020_12.qgd,Unknown,8:0,6.205,8771,3015,0.0143,-----,-----,86.6871,80.8745,1,
DEME_15F1416_0089_342020_13.qgd,Unknown,8:0,6.205,11435,4061,0.0186,-----,-----,83.4915,75.3852,1,
HIGR_07F0558_0050_342020_26.qgd,Unknown,8:0,6.204,3465,1269,0.0056,-----,-----,91.594,83.6519,1,
HIGR_11F0992_0124_342020_18.qgd,Unknown,8:0,6.208,2118,757,0.0035,-----,-----,74.7354,75.0992,1,
HIGR_12F1091_0125_342020_16.qgd,Unknown,8:0,6.205,5411,1978,0.0088,-----,-----,84.7588,75.9892,1,
IRCO_08F0676_0069_342020_10.qgd,Unknown,8:0,6.205,3072,1324,0.005,-----,-----,89.1727,87.22,1,
IRCO_09F0720_0070_342020_11.qgd,Unknown,8:0,6.207,3399,1098,0.0055,-----,-----,72.1197,78.9928,1,
IRCO_10F0875_0071_342020_23.qgd,Unknown,8:0,6.204,5208,1727,0.0085,-----,-----,86.526,79.3294,1,
IRCO_15F1424_0105_342020_20.qgd,Unknown,8:0,6.206,3058,1381,0.005,-----,-----,100,100,1,
PHAN_02F0095_0051_342020_8.qgd,Unknown,8:0,6.204,3952,1587,0.0064,-----,-----,63.2725,64.6436,1,
PHAN_03F0175_0052_342020_9.qgd,Unknown,8:0,6.203,3090,1193,0.005,-----,-----,64.3214,56.3267,1,
PHAN_04F0230_0053_342020_25.qgd,Unknown,8:0,6.202,3973,1434,0.0065,-----,-----,87.0318,77.6394,1,
PLCA_09F0719_0108_342020_19.qgd,Unknown,8:0,6.204,3852,1430,0.0063,-----,-----,70.2151,69.1824,1,
PLCA_14F1214_0106_342020_14.qgd,Unknown,8:0,6.208,5206,1689,0.0085,-----,-----,54.297,49.2276,1,
PLCA_15F1397_0107_342020_15.qgd,Unknown,8:0,6.205,2340,877,0.0038,-----,-----,75.6058,73.4506,1,
DEME_03F0154_0033_342020_7.qgd,Unknown,9:0,7.356,21027,7921,0.0327,-----,-----,72.0843,71.515,1,
DEME_04F0245_0034_342020_27.qgd,Unknown,9:0,7.364,10991,3645,0.0171,-----,-----,72.7977,71.1636,1,
DEME_12F1165_0090_342020_21.qgd,Unknown,9:0,7.369,12970,4297,0.0202,-----,-----,52.0111,50.1576,1,
DEME_13F1242_0087_342020_22.qgd,Unknown,9:0,7.355,37020,13311,0.0576,-----,-----,79.3127,82.4619,1,
DEME_14F1312_0088_342020_12.qgd,Unknown,9:0,7.356,32823,11625,0.0511,-----,-----,79.8769,79.1355,1,
DEME_15F1416_0089_342020_13.qgd,Unknown,9:0,7.369,27491,9462,0.0428,-----,-----,81.1926,81.038,1,
HIGR_07F0558_0050_342020_26.qgd,Unknown,9:0,7.365,11088,3912,0.0173,-----,-----,72.5559,69.1044,1,
HIGR_11F0992_0124_342020_18.qgd,Unknown,9:0,7.364,12641,4426,0.0197,-----,-----,56.9132,57.8486,1,
HIGR_12F1091_0125_342020_16.qgd,Unknown,9:0,7.369,13347,5659,0.0208,-----,-----,27.9829,33.7689,1,
IRCO_08F0676_0069_342020_10.qgd,Unknown,9:0,7.363,17719,6544,0.0276,-----,-----,51.7343,54.1946,1,
IRCO_09F0720_0070_342020_11.qgd,Unknown,9:0,7.354,20014,7038,0.0311,-----,-----,65.256,67.1501,1,
IRCO_10F0875_0071_342020_23.qgd,Unknown,9:0,7.365,11854,4131,0.0184,-----,-----,63.2382,67.2911,1,
IRCO_15F1424_0105_342020_20.qgd,Unknown,9:0,7.368,3422,1441,0.0053,-----,-----,30.007,34.2362,1,
PHAN_02F0095_0051_342020_8.qgd,Unknown,9:0,7.358,24897,9235,0.0387,-----,-----,68.0302,74.8986,1,
PHAN_03F0175_0052_342020_9.qgd,Unknown,9:0,7.356,37343,13947,0.0581,-----,-----,71.7555,75.7783,1,
PHAN_04F0230_0053_342020_25.qgd,Unknown,9:0,7.355,25773,8902,0.0401,-----,-----,55.1695,57.0349,1,
PLCA_09F0719_0108_342020_19.qgd,Unknown,9:0,7.357,28188,10173,0.0439,-----,-----,59.8586,60.5896,1,
PLCA_14F1214_0106_342020_14.qgd,Unknown,9:0,7.359,47949,16972,0.0746,-----,-----,66.9118,68.933,1,
PLCA_15F1397_0107_342020_15.qgd,Unknown,9:0,7.356,9537,3707,0.0148,-----,-----,48.9403,51.124,1,
DEME_03F0154_0033_342020_7.qgd,Unknown,10:0,8.484,4039,2242,0.0064,-----,-----,37.4432,45.1107,1,
DEME_04F0245_0034_342020_27.qgd,Unknown,10:0,8.485,5306,2905,0.0084,-----,-----,56.6034,65.9777,1,
