sample,batch,FA,proportion,targetFA
CAAT_14F1385_0200,batch_6,8:0,0.000121340661357588,all
CAAT_14F1385_0200,batch_6,9:0,0.000233504297906619,all
CAAT_14F1385_0200,batch_6,10:0,8.97E-05,all
CAAT_14F1385_0200,batch_6,11:0,5.71014876976884E-05,all
CAAT_14F1385_0200,batch_6,11:1,0.00026103537233229,all
CAAT_14F1385_0200,batch_6,12:0,0.000683178513525915,all
CAAT_14F1385_0200,batch_6,13:0,0,all
CAAT_14F1385_0200,batch_6,13:1,0,all
CAAT_14F1385_0200,batch_6,i-14:0,0,all
CAAT_14F1385_0200,batch_6,14:0,0.0154092443229905,all
CAAT_14F1385_0200,batch_6,14:1,0,all
CAAT_14F1385_0200,batch_6,14:1w5,0,all
CAAT_14F1385_0200,batch_6,i-15:0,0,all
CAAT_14F1385_0200,batch_6,a-15:0,0,all
CAAT_14F1385_0200,batch_6,15:0,0.00433563438733163,all
CAAT_14F1385_0200,batch_6,15:1w7,0,all
CAAT_14F1385_0200,batch_6,15:1w5,0,all
CAAT_14F1385_0200,batch_6,i-16:0,0,all
CAAT_14F1385_0200,batch_6,16:0,0.234351643197275,all
CAAT_14F1385_0200,batch_6,16:1w13,0,all
CAAT_14F1385_0200,batch_6,16:1w9,0,all
CAAT_14F1385_0200,batch_6,16:1w7t,0,all
CAAT_14F1385_0200,batch_6,16:1w8c,0,all
CAAT_14F1385_0200,batch_6,16:1w7c,0.00582537141458739,all
CAAT_14F1385_0200,batch_6,16:1w6c,0,all
CAAT_14F1385_0200,batch_6,16:1w5t,0,all
CAAT_14F1385_0200,batch_6,16:1w5c,0,all
CAAT_14F1385_0200,batch_6,16:2w6,0,all
CAAT_14F1385_0200,batch_6,14:4w3,0,all
CAAT_14F1385_0200,batch_6,i-17:0,0,all
CAAT_14F1385_0200,batch_6,a-17:0,0,all
CAAT_14F1385_0200,batch_6,16:2w5,0,all
CAAT_14F1385_0200,batch_6,16:2w4,0,all
