sample,batch,FA,proportion,targetFA,type
DEME_03F0154_0033,batch_1,8:0,4.06721E-05,standardsplus,core
DEME_03F0154_0033,batch_1,9:0,0.000277079,standardsplus,core
DEME_03F0154_0033,batch_1,10:0,5.42295E-05,standardsplus,core
DEME_03F0154_0033,batch_1,11:0,6.52449E-05,standardsplus,core
DEME_03F0154_0033,batch_1,11:1,4.49088E-05,standardsplus,core
DEME_03F0154_0033,batch_1,12:0,0.000237254,standardsplus,core
DEME_03F0154_0033,batch_1,13:0,6.18555E-05,standardsplus,core
DEME_03F0154_0033,batch_1,13:1,4.91455E-05,standardsplus,core
DEME_03F0154_0033,batch_1,i-14:0,0,standardsplus,core
DEME_03F0154_0033,batch_1,14:0,0.032958839,standardsplus,core
DEME_03F0154_0033,batch_1,14:1,7.62603E-06,standardsplus,core
DEME_03F0154_0033,batch_1,14:1w5,0,standardsplus,core
DEME_03F0154_0033,batch_1,i-15:0,0,standardsplus,core
DEME_03F0154_0033,batch_1,a-15:0,0,standardsplus,core
DEME_03F0154_0033,batch_1,15:0,0.001792964,standardsplus,core
DEME_03F0154_0033,batch_1,15:1w7,0,standardsplus,core
DEME_03F0154_0033,batch_1,15:1w5,0,standardsplus,core
DEME_03F0154_0033,batch_1,i-16:0,0,standardsplus,core
DEME_03F0154_0033,batch_1,16:0,0.165934709,standardsplus,core
DEME_03F0154_0033,batch_1,16:1w13,0,standardsplus,core
DEME_03F0154_0033,batch_1,16:1w9,0,standardsplus,core
DEME_03F0154_0033,batch_1,16:1w7t,0,standardsplus,core
DEME_03F0154_0033,batch_1,16:1w8c,0,standardsplus,core
DEME_03F0154_0033,batch_1,16:1w7c,0.005018773,standardsplus,core
DEME_03F0154_0033,batch_1,16:1w6c,0,standardsplus,core
DEME_03F0154_0033,batch_1,16:1w5t,0,standardsplus,core
DEME_03F0154_0033,batch_1,16:1w5c,0,standardsplus,core
DEME_03F0154_0033,batch_1,16:2w9,0,standardsplus,core
DEME_03F0154_0033,batch_1,16:2w6,0.003050411,standardsplus,core
DEME_03F0154_0033,batch_1,i-17:0,0,standardsplus,core
DEME_03F0154_0033,batch_1,a-17:0,0,standardsplus,core
DEME_03F0154_0033,batch_1,16:2w5,0,standardsplus,core
DEME_03F0154_0033,batch_1,16:2w4,0,standardsplus,core
DEME_03F0154_0033,batch_1,17:0,0.001136278,standardsplus,core
DEME_03F0154_0033,batch_1,16:3w4,0.000677869,standardsplus,core
DEME_03F0154_0033,batch_1,16:3w3,0,standardsplus,core
DEME_03F0154_0033,batch_1,17:1w9c,0,standardsplus,core
DEME_03F0154_0033,batch_1,17:1w7c,0,standardsplus,core
DEME_03F0154_0033,batch_1,16:4n6,0,standardsplus,core
DEME_03F0154_0033,batch_1,16:4w3,0,standardsplus,core
DEME_03F0154_0033,batch_1,16:4w1,0.000338935,standardsplus,core
DEME_03F0154_0033,batch_1,17:2,0,standardsplus,core
DEME_03F0154_0033,batch_1,18:0,0.033503676,standardsplus,core
DEME_03F0154_0033,batch_1,18:1w9t,0,standardsplus,core
DEME_03F0154_0033,batch_1,18:1w9c,0.088791521,standardsplus,core
DEME_03F0154_0033,batch_1,18:1w8c,0,standardsplus,core
DEME_03F0154_0033,batch_1,18:1w7c,0.000598219,standardsplus,core
DEME_03F0154_0033,batch_1,18:1w5c,0,standardsplus,core
DEME_03F0154_0033,batch_1,18:1nX,0,standardsplus,core
DEME_03F0154_0033,batch_1,18:1w6c,0,standardsplus,core
DEME_03F0154_0033,batch_1,"18:2w7,12c",0,standardsplus,core
DEME_03F0154_0033,batch_1,18:2w6t,0,standardsplus,core
DEME_03F0154_0033,batch_1,18:2w6c,0.065178801,standardsplus,core
DEME_03F0154_0033,batch_1,18:2w3,0,standardsplus,core
DEME_03F0154_0033,batch_1,18:2,0,standardsplus,core
DEME_03F0154_0033,batch_1,18:3w6,0.003100403,standardsplus,core
DEME_03F0154_0033,batch_1,18:3w4,0,standardsplus,core
