ID,FAvialNum,season,Ice.cover,depth,phyla,genus,species,sp.abrev,tissue.type,C13:0,i-14:0,C14:0,C14:1w5,i-15:0,a-15:0,C15:0,i-16:0,a-16:0,C16:0,C16:0,C16:1w?,C16:1w7c,C16:1w?,i-17:0,a-17:0,C16:2w6,C17:0,C16:3w4,C16:3w3,C17:1w9c,C16:4w3,17:1w?,C16:4w1,C18:0,C18:1w?,C18:1w9c,C18:1w7c,C18:2w?,C18:2w?,C18:2w6c,C18:2w?,C18:3w6,C18:3w3,C18:4w3,C18:4w1,C18:5w3,C20:0,C20:1w?,C20:1w?,C20:1w9,C20:1w?,C20:1w?,C20:2w?,C20:3w?,C20:2w6,C20:3w6,C20:4w6,C20:3w3,C20:4w3,C20:5w3,C22:0,C22:1w9c,C22:2?,C22:2?,C22:2w6,C22:3?,C22:4w6,C22:5w6,C22:4w3,C22:5w3,C22:6w3,C24:1w9
01F0001_ODVA_5312020_7.qgd,1,winter,<=50%,20-35,echinoderm,Odontaster,validus,ODVA,tube feet,0.01661893,0.24435754,0.73868892,0,0.74165185,0.38234154,0.26003011,0.21666522,0.18367501,1.92E-05,7.35936495,0.083758,0.25755363,0.03167237,0.15514245,0.13096142,-0.0011675,0.51344448,0.0325303,0.00809277,0,0,0,0.0206609,19.8419067,0.10562175,0.31263756,3.59115726,1.21478282,0.39445859,2.38242412,0.19604855,0,0.05618065,0.08506699,0.01010933,0,0.56891757,0,11.9161449,1.52695161,4.45952514,0,0,2.87710928,0.20038238,0,14.6831571,0.1150589,0.05874558,22.8595384,0.0465047,0.152949,0.12842303,0.0827851,0.06335359,0.02629488,0.06352164,0,0,0.16238615,0.1924665,0.24932819
01F0002_ODVA_5312020_8.qgd,2,winter,<=50%,20-35,echinoderm,Odontaster,validus,ODVA,tube feet,0.0160351,0.32436044,0.57554236,0.02022982,0.64622133,0.31749319,0.14856249,0.17423249,0.16793607,5.61E-06,2.17103452,0.04958426,0.42896912,0.03687035,0.08978444,0.06610369,-0.0011417,0.24171136,0.04207699,0.00368444,0,0,0,0.0584667,12.3035121,0.12813375,0.47695333,5.13155109,1.79140749,0.37862376,1.82531126,0.26570346,0,0.06230682,0.12305683,0.05478226,0,0.58750382,0,13.4968122,2.268923,4.73660682,0,0,2.15909901,0.10557736,0,17.1009467,0.12604936,0.0720801,29.6195747,0.03379133,0.15997907,0.10115777,0.09982583,0,0.00115031,0.02528079,0,0,0.0928548,0.34736656,0.74631528
01F0003_ODVA_5312020_9.qgd,3,winter,<=50%,20-35,echinoderm,Odontaster,validus,ODVA,tube feet,0.03226336,0.31648463,0.47473939,0.01659223,0.73167621,0.30636498,0.21124285,0.21131753,0.20199451,7.14E-06,2.77087729,0.07678729,0.24482562,0.02653761,0.13001187,0.08279933,-0.001643,0.36710773,0.03449142,0.00180486,0,0,0,0.0139783,12.0522065,0.16132924,0.32343021,3.40644802,1.4267574,0.32223527,2.04506375,0.14308152,0,0.02332621,0.03681906,0.00942259,0,0.43667559,0,15.2752812,1.66008173,5.64422062,0,0,3.10634402,3.47324015,0,19.6499785,0.03849945,0.04042878,23.5028359,0.02351292,0.16658199,0.11605847,0.08698162,0.00714474,0.00969643,0.0588632,0,0,0.1250952,0.14758744,0.23051124
01F0004_ODVA_5312020_10.qgd,4,winter,<=50%,20-35,echinoderm,Odontaster,validus,ODVA,tube feet,0.02800619,0.2598788,1.10847803,0.01513344,0.85840334,0.27099583,0.25897763,0.23973455,0.14144486,2.37E-05,9.04123736,0.130188,0.41331078,0.05291267,0.22077113,0.10521938,-0.0010255,0.53747026,0.08853219,0.00393097,0,0,0,0.07774923,20.5838509,0.1758447,0.29851259,4.87021829,2.06096819,0.43125649,1.9082587,0.29192472,0,0.05970252,0.19863808,0.05450525,0,0.66217356,0,11.474886,1.28986959,4.00447352,0,0,1.41214127,0.1044192,0,12.3676659,0.05181728,0.06182337,21.9703865,0.05262523,0.18824355,0.14509615,0.08334269,0.0209289,0.00715498,0.0626857,0,0,0.23766807,0.71396753,0.30357778
01F0005_ODVA_5312020_11.qgd,5,winter,<=50%,20-35,echinoderm,Odontaster,validus,ODVA,tube feet,0.02266949,0.27242689,1.22762386,0.01407326,0.83096913,0.29884597,0.27796122,0.26234883,0.19735312,1.22E-05,4.67100439,0.11116975,0.48935486,0.08800086,0.17266147,0.11085046,-0.0010807,0.48913381,0.04481503,0.00045847,0,0,0,0.08071453,15.5299534,0.15442108,0.39376475,5.03109647,1.46794177,0.45041802,2.00446947,0.20839723,0,0.10176302,0.22396051,0.03569483,0,0.57831358,0,11.728241,1.84626605,4.03596386,0,0,1.26209884,0.17967763,0,16.1944913,0.03449136,0.05560534,26.5363156,0.04516706,0.2171572,0.09087446,0.08764064,0,0.00320926,0.02610799,0,0,0.16036476,1.13696226,0.51780429
01F0006_NACO_5312020_12.qgd,6,winter,<=50%,30m,mollusc,Nacella,concinna,NACO,foot,0.01370113,0.03611266,2.06258168,0.15400293,0.14714136,0.05246598,0.84338449,0.01598466,0.00295482,5.09E-05,17.5266482,0.09065308,0.92101323,0.13353377,0.7694589,0.15053088,-0.0007263,1.58358129,0.0477999,0.00683956,0,0,0,0.12888419,9.38704751,0.23086133,2.80712543,11.2745793,0.04628672,0.01370113,0.11053347,0.95341173,0.01231451,0.25352598,0.08398409,0.09153347,0,0.09771824,0.00340602,1.77902877,2.9212355,0.93757014,0,0.18861892,0,1.68129402,0.059212,3.35301376,2.48123657,0.1376331,31.9598998,0.00876542,0,0.74519854,0.26942809,0.08483147,0.08483147,0.09960558,0,0,1.84981795,1.30615262,0
01F0007_NACO_5312020_13.qgd,7,winter,<=50%,30m,mollusc,Nacella,concinna,NACO,foot,0.01166341,0.02891244,1.81884351,0.16048321,0.17931809,0.05467663,0.79809595,0.02197533,0.00535908,5.03E-05,17.3084531,0.17818534,1.08894686,0.13596895,0.81779798,0.17616983,-0.0010312,1.7038187,0.03500585,0.00292952,0,0,0,0.14085149,8.12592018,0.27113326,2.76381405,10.7192203,0.05791863,0.01166341,0.14381226,0.60896592,0.00925729,0.25852459,0.08171418,0.05156743,0,0.10818926,0.01014787,1.48616682,2.73005032,0.65758819,0,0.17591203,0.00497628,1.99091982,0.05235645,3.81260691,2.66366341,0.1474605,32.6705542,0.01117906,0,0.9865854,0.17943527,0.13163326,0.13163326,0.11804808,0,0,2.00365348,2.15725426,0
01F0008_NACO_5312020_14.qgd,8,winter,<=50%,30m,mollusc,Nacella,concinna,NACO,foot,0.02280749,0.03109266,2.63046607,0.24508745,0.14067336,0.04836119,0.78897051,0.02152166,0.00589969,5.47E-05,18.8076518,0.0707905,1.1184515,0.2566832,0.67617233,0.13914316,-0.000768,1.26072488,0.09601838,0.00190838,0,0.00461968,0,0.10979597,7.93818267,0.1852876,2.90540109,10.9178303,0.07284434,0.02280749,0.17730498,0.78677122,0.01293394,0.26203016,0.07894767,0.0818277,0,0.09858422,0.02896319,1.92668038,1.80946034,0.74181951,0,0.28924206,0,1.86650817,0.06751483,3.7711607,2.62191908,0.15047127,31.6135526,0.00429386,0,0.69108448,0.31544159,0.10453046,0.10453046,0.22524726,0,0,2.6207438,1.02995611,0
01F0009_NACO_5312020_15.qgd,9,winter,<=50%,30m,mollusc,Nacella,concinna,NACO,foot,0.01210993,0.04878178,2.05275572,0.17738087,0.23373901,0.10369,1.126489,0.01078254,0.00178688,5.51E-05,18.9699965,0.05546471,0.80693898,0.1407907,0.85292812,0.23839,-0.0006739,2.41846847,0.03359331,0.0074181,0,0,0,0.08948177,7.78302975,0.16757346,2.54605669,8.99701963,0.03880079,0.01210993,0.17263798,0.51062348,0.01089996,0.26534123,0.08233936,0.04536119,0.00274669,0.0901812,0.00061775,1.5752967,2.88207662,0.85483243,0,0.20488348,0,2.8201281,0.0788626,4.26374207,3.00420211,0.16191671,31.3951935,0.0041813,0,0.60515446,0.25823967,0.08831774,0.08831774,0.16740498,0.00177667,0,2.39369723,1.04606926,0
01F0019_STNE_5312020_16.qgd,19,winter,<=50%,5,echinoderm,Sterechinus,neumeyeri,STNE,gonad,0.10265299,0.1435157,10.1802642,0.04799145,1.04883734,0.23660836,1.91910442,0.00541278,0.04070061,5.05E-05,17.3830223,1.4322233,3.29410806,0.46266398,0.79845783,0.30983703,0.48529959,0.91472381,0.31660992,0.01358927,0.07153644,0.02690574,0,0.01719911,6.23121794,0.46285376,0.5755534,3.69404866,0.04285149,0.10265299,0.67523708,0.19177601,0.07918708,0.35126514,1.03651724,0.07130712,0.00101218,1.57809548,2.13301391,1.37177337,0.88862466,2.66230368,0.5497152,0.34967966,0,1.00864282,0.06975327,3.34423061,0.48159486,0.50555896,17.0308675,0.03225525,0.97013263,0.62293992,0.7776133,0.1884983,0.1884983,0.25362559,0.33220774,0,1.95222951,9.94135073,0
