sample,batch,FA,proportion,species
DEME_05F0328_0035,batch_2,8:0,4.54764654554136e-5,D. menziesii
DEME_05F0328_0035,batch_2,9:0,1.4116652818451e-4,D. menziesii
DEME_05F0328_0035,batch_2,10:0,4.8318744546377e-5,D. menziesii
DEME_05F0328_0035,batch_2,11:0,6.91621245467749e-5,D. menziesii
DEME_05F0328_0035,batch_2,11:1,0,D. menziesii
DEME_05F0328_0035,batch_2,12:0,1.7622130363972e-4,D. menziesii
DEME_05F0328_0035,batch_2,13:0,0,D. menziesii
DEME_05F0328_0035,batch_2,13:1,0,D. menziesii
DEME_05F0328_0035,batch_2,i-14:0,0,D. menziesii
DEME_05F0328_0035,batch_2,14:0,0.0478402942327315,D. menziesii
DEME_05F0328_0035,batch_2,14:1,0,D. menziesii
DEME_05F0328_0035,batch_2,14:1w5,0,D. menziesii
DEME_05F0328_0035,batch_2,i-15:0,0,D. menziesii
DEME_05F0328_0035,batch_2,a-15:0,0,D. menziesii
DEME_05F0328_0035,batch_2,15:0,0.00138797962275377,D. menziesii
DEME_05F0328_0035,batch_2,15:1w7,0,D. menziesii
DEME_05F0328_0035,batch_2,15:1w5,0,D. menziesii
DEME_05F0328_0035,batch_2,i-16:0,0,D. menziesii
DEME_05F0328_0035,batch_2,16:0,0.1414327549927,D. menziesii
DEME_05F0328_0035,batch_2,16:1w13,0,D. menziesii
DEME_05F0328_0035,batch_2,16:1w9,0,D. menziesii
DEME_05F0328_0035,batch_2,16:1w7t,0,D. menziesii
DEME_05F0328_0035,batch_2,16:1w8c,0,D. menziesii
DEME_05F0328_0035,batch_2,16:1w7c,0,D. menziesii
DEME_05F0328_0035,batch_2,16:1w6c,0.0122710662620524,D. menziesii
DEME_05F0328_0035,batch_2,16:1w5t,0,D. menziesii
DEME_05F0328_0035,batch_2,16:1w5c,0.0122814879520526,D. menziesii
DEME_05F0328_0035,batch_2,16:2w6,0,D. menziesii
DEME_05F0328_0035,batch_2,i-17:0,0,D. menziesii
DEME_05F0328_0035,batch_2,a-17:0,0,D. menziesii
DEME_05F0328_0035,batch_2,16:2w5,0.00464902116645239,D. menziesii
DEME_05F0328_0035,batch_2,16:2w4,0,D. menziesii
DEME_05F0328_0035,batch_2,17:0,8.9152820819883e-4,D. menziesii
DEME_05F0328_0035,batch_2,16:3w4,0,D. menziesii
DEME_05F0328_0035,batch_2,16:3w3,0,D. menziesii
DEME_05F0328_0035,batch_2,17:1w9c,0,D. menziesii
DEME_05F0328_0035,batch_2,17:1w7c,0,D. menziesii
