genusSpecies,n
Acodontaster sp.,7
Adamussium colbecki,5
Alcyonium antarcticum,17
Arctarid sp.,1
Austrodoris kerguelenensis,10
Bovallia gigantea,5
Camptoplites sp.,3
Cnemidocarpa sp.,37
Colossendeis australis,2
Cuenotaster involutus,14
Dendrilla membranosa,23
Desmarestia anceps,3
Desmarestia antarctica,5
Desmarestia menziesii,5
Desmerestia menziesii,12
Diatom benthic,5
Diplasterias brucei,5
Echinopsolus acanthocola,3
Eurymera monticulosa,4
Eusirus bouvieri,3
Flabelligera cf. mundata,5
Flabelligera sp.,5
Glabraster antarctica,5
Glyptonotus antarcticus,4
Gondogeneia antarctica,20
Heterocucumis sp.,4
Heterocucumis steineni,18
Himantothallus grandifolius,5
Holothuroidea sp.,4
Hymenocladiopsis sp.,13
Iridaea cordata,6
Isotealia antarctica,21
Labidiaster annulatus,11
Margarella antarctica,8
Marseniopsis mollis,12
Metaleptamphopus pectinatus,6
Munnid isopod,3
Myriogramme mangini,7
Nacella concinna,52
Nematoflustra sp.,2
Neosmilaster georgianus,17
Nuttallochiton mirandus,2
Nymphon sp.,3
Odontaster validus,53
Oraderea sp.,3
Paradexamine fissicauda,1
Perknaster aurorae,6
Perknaster fuscus,24
Phorbas areolatus,5
Phyllophora antarctica,21
Plocamium cartilagineum,10
Polynoidae sp.,14
Porania antarctica,18
Promachocrinus kerguelensis,5
Prostebbingia brevicornis,5
Prostebbingia gracilis,13
Pycnogonid sp.,5
Schraderia gracilis,5
Sterechinus neumayeri,40
Terebellidae sp.,14
