sample,batch,ProjID,SiteID,FAvialNum,Date,IceCoverCat,Transect,Depth.m,Genus,species,Replicate,Tissue,VialAmount,DissectedBy,LinkedTo,Comments,sp.abrev,phyla,season,8:0,9:0,10:0,11:0,11:1,12:0,13:0,13:1,i-14:0,14:0,14:1,14:1w5,i-15:0,a-15:0,15:0,15:1w7,15:1w5,i-16:0,16:0,16:1w13,16:1w9,16:1w7t,16:1w8c,16:1w7c,16:1w6c,16:1w5t,16:1w5c,16:2w6,i-17:0,a-17:0,16:2w5,16:2w4,17:0,16:3w4,16:3w3,17:1w9c,17:1w7c,16:4w3,16:4w1,17:2,18:0,18:1w9t,18:1w9c,18:1w8c,18:1w7c,18:1w5c,18:1w6c,"18:2w7,12c",18:2w6t,18:2w6c,18:2w3,18:2,18:3w6,18:3w4,19:0,18:3w3,18:4w3c,18:4w1,18:5w3,20:0,20:1w11,20:1w9,20:1w7,20:1w5,20:2w6,20:3n7,20:3w6,20:4w6,20:3w3,20:4w3,20:5w3,21:0,22:0,22:1w9c,22:1w7c,22:2w6,21:5w3,23:0,22:4w6,22:5w6,22:3w6,22:6w4,22:5w3,22:6w3,24:0,24:1,24:1w9,26:0,26:4w2,27:0,28:0,29:0,16:2w9,16:4n6,18:1nX,24:1w7,a-16:0,16:0...20,16:0...21,16:1w?...22,16:1w?...24,17:1w?,18:1w?,18:2w?...39,18:2w?...40,18:2w?...42,18:4w3,20:1w?...49,20:1w?...50,20:1w?...52,20:1w?...53,20:2w?,20:3w?,22:2?...64,22:2?...65,22:3?,22:4w3
DEME_05F0328_0035,batch_2,05F0328,5,328,2019.04.30,<=60%,NA,5-30m,Desmerestia,menziesii,1,thallus,1ml,Galloway?,05S031,NA,DEME,ochrophyta,NA,4.54764654554136e-5,1.4116652818451e-4,4.8318744546377e-5,6.91621245467749e-5,0,1.7622130363972e-4,0,0,0,0.0478402942327315,0,0,0,0,0.00138797962275377,0,0,0,0.1414327549927,0,0,0,0,0,0.0122710662620524,0,0.0122814879520526,0,0,0,0.00464902116645239,0,8.9152820819883e-4,0,0,0,0,5.656135391017e-4,5.4855986455592e-4,0,0.0182227986785297,0,0.11623595085131,0,0,0,0,0,0,0.0627101510102881,0,0,0.00479397740009152,0,0.235802105370865,0.0630303811212033,0.0849746705561677,0,0,0.00895696884198918,0,0,0,0,0.00250878501095699,0,0.00426436606280868,0.223967802662458,0.0016826292218503,0.00749793224196132,0.178804935333414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEME_07F0563_0036,batch_2,07F0563,7,563,2019.05.04,<=60%,T3,NA,Desmarestia,menziesii,1,thallus,1.5ml,Galloway,07S080,NA,DEME,ochrophyta,NA,3.70645486731145e-5,9.64693732587913e-5,3.75722822165819e-5,5.58506897814055e-5,0,1.2947205358416e-4,0,0,0,0.0539421193915118,8.0526539993917e-4,0,0,0,0.00134854029144921,0,0,0,0.132448895349516,0,0,0,0,0,0,0,0.00814861563910706,0,0,0,0.00391513335367652,0,8.6517795806831e-4,0,0,0,0,0,0,0,0.0136260451060325,0,0.105044992807954,0,0,0,0,0,0,0.0540177716894884,0,0,0.00480366705474434,0,0.177986501396013,0.0754202637472665,0.113187007910996,0,0,0.00885588846515704,0,0,0,0,0.00226246066969039,0,0.00948141619070878,0.198443085862312,0.00199082322393537,0.014193691207629,0.196550762945809,0,2.9194678749371e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEME_09F0780_0068,batch_2,09F0780,9,780,2019.05.07,<=60%,T3,10m,Desmarestia,menziesii,2,thallus,1ml,Galloway,09S054,NA,DEME,ochrophyta,NA,1.99870238091577e-5,9.37852655660479e-5,1.74245848592657e-5,5.63736568976244e-5,0,1.065974603155e-4,0,1.399091666641e-4,0,0.0414151632837348,0,0,0,0,0.00111158601646316,0,0,0,0.134019656981672,0,0,0,0,0,0.0645893486587682,0,0.0100872971701449,0,0,0,0.00768065450840634,0,7.3695744198894e-4,0,0,0,0,0,0,0,0.00947538674891071,0,0.0876400244764169,0,0,0,0,0,0,0.0485602680516137,0.0036355883821068,0,0.00457087859881738,0,0.158970125036771,0.0725979953527607,0.0879628917841032,0,0,0.00791793635516634,0,0,0,0,0.00213758657199992,0,0.00250094041509461,0.208656841250757,0,0.0093047283148479,0.193357543256532,0,0,0,0,0,0,0,0,0,0,0,0,0.0016066492215823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEME_08F0679_0067,batch_2,08F0679,8,679,2019.05.05,<=80%,Bulk collection,5-30m,Desmarestia,menziesii,2,thallus parts,1ml,Galloway,08S064,NA,DEME,ochrophyta,NA,5.710807948792e-6,1.44129914898084e-5,2.90979262152735e-5,1.93079697316301e-5,1.0333842954957e-5,1.8573722995356e-4,0,0,0,0.0999513765494646,0,0,0,0,0.00120035744218895,0,0,0,0.0774325730344351,0,0,0,0,0,0.0663731855267459,0,0.00952889097741294,0,0,0,0.0142435708539942,0,0.00220301215205543,0,0,0,0,0,3.421045904562e-4,0,0.137489333026581,0,0,0,0,0,0,0,0,0,0,0,0.00757769826157567,0,0.0641152408410878,0.0529435407770724,0.0488502511939668,0,0,0.0342542419065614,0,9.3167752536006e-4,0,0,0.00341696675602721,0,0.028480343127097,0.270095381370474,0,0.00866710286361666,0.135575124590793,0,0,0,0,0,1.7866670582649e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEME_12F1162_0086,batch_2,12F1162,12,1162,2019.05.15,<=40%,T2,30m,Desmarestia,menziesii,2,thallus,1ml,Galloway,12S075,NA,DEME,ochrophyta,NA,2.68330066337669e-5,4.58011664955677e-5,3.2847301224094e-5,4.58011664955677e-5,0,1.5914748762096e-4,0,0,0,0.0590353904225597,5.7922283285303e-4,0,0,0,0.00120933585070115,0,0,0,0.116313681548653,0,0,0,0,0.0109955184252541,0.00194354242876646,0,0.00793100401245977,0,0,0,0.00481976315707903,0,9.4933326918085e-4,0,0,0,0,0,4.3811822900305e-4,0,0.0284994288733329,0,0.150330994389588,0,0,0.00130972830655507,0,0,0,0.051875604031798,0,0,0.00502933819164966,0,0.147143418256715,0.0649164452558088,0.0783130551367396,0,0,0.0125865306634183,0,0,0,0,0.00209991408811497,0,0.00660369546017912,0.207467718273786,0.00147489008876636,0.00998604221016999,0.174981274725112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEME_14F1329_0091,batch_2,14F1329,14,1329,2019.05.17,nd,T1,5m,Desmarestia,menziesii,3,thallus,1ml,Galloway,14S059,NA,DEME,ochrophyta,NA,5.79290975763303e-5,1.3260877758437e-4,3.31521943960926e-5,4.25743970139295e-5,0,1.3574951179031e-4,0,0,0,0.0654431296788215,0,0,0,0,0.0011240338752612,0,0,0,0.0984068800225575,0,0,0,0,0.0108774094665917,0.0021636168974292,0,0.0112469691914913,0,0,0,0.00379330897984765,0,0.0010856471238552,0,0,0,0,2.2159624675283e-4,0,0,0.031613932576114,0,0.182809924161738,0,0,0,0,0,0,0.0671754190786342,0,0,0.0050995054390537,0,0.126768756813648,0.0689384178795717,0.0831083637053963,0,0,0.0149739737825467,0,0,0,0,0.00246757017447127,0,0.00995822125565158,0.195114971810166,9.8514362926494e-4,0.0103026551069036,0.131898273712892,0,0,0,0,7.89022226627e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEME_15F1408_0085,batch_2,15F1408,15,1408,2019.05.18,<=70%,T1,15m,Desmarestia,menziesii,1,thallus,1ml,Galloway,15S013,NA,DEME,ochrophyta,NA,3.92766549382211e-5,7.85533098764422e-5,3.23214139595778e-5,6.05515096964242e-5,1.47287456018329e-5,1.1537517388102e-4,0,0,0,0.0453960396039604,0,0,0,0,0.00109892807462564,0,0,0,0.117505523279601,0,0,0,0,0.00364495540463137,0.00384624826118976,0,0.0108387202356599,0,0,0,0.00396325996235987,0,9.0049914082317e-4,0,0,0,0,0,0,0,0.00923451436052696,0,0.101358317649947,0,0,0,0,0,0,0.0536613206775223,0,0,0.00642868832337779,0,0.148949758612225,0.0893781196301448,0.135211521152115,0,0,0.00615866132067752,0,0,0,0,0.00179281564520088,0,0.00401521970378856,0.227809917355372,0.00127853694460355,0.00923492349234924,0.16690246297357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEME_15F1427_0092,batch_2,15F1427,15,1427,2019.05.18,<=70%,T1,5m,Desmarestia,menziesii,3,thallus,1ml,Galloway,NA,NA,DEME,ochrophyta,NA,1.60559530382954e-5,1.2374832097808e-4,3.05454716338303e-5,3.17202974659007e-5,0,1.2061545209256e-4,0,0,0,0.0581977388518819,0,0,0,0,0.00106165094358095,0,0,0,0.0979467960541516,0,0,0,0,0.0113335448019831,0.00153706379695877,0,0.010246830907318,0,0,0,0.0037817643534346,0,8.5566481435793e-4,0,0,0,0,0,3.649792251632e-4,0,0.0228938309895558,0,0.151767133855739,0,0,0.00181432269332738,0,0,0,0.0718617464960819,2.1655956171164e-4,0,0.00624106642856863,0,0.125947203327107,0.0660588901028756,0.0939265420568067,0,0,0.0123266642386933,0,4.5074151090434e-4,0,0,0.00218400122181886,0,0.00959127809302271,0.200950825706756,0.00124883985949083,0.00833734732159291,0.163709630047345,0,1.5664344427605e-4,0,0,0,6.1521712739419e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIGR_07F0557_0049,batch_2,07F0557,7,557,2019.05.04,<=60%,T3,NA,Himantothallus,grandifolius,1,thallus,1ml,Galloway,07S075,NA,HIGR,ochrophyta,NA,4.5426437014047e-5,1.8390380146009e-4,5.05552282898265e-5,1.0623924785543e-4,2.85746942507715e-5,1.6558668976088e-4,0,0,0,0.0349937428746435,0,0,0,0,0.00228377748665782,0,0,0,0.120832124403961,0,0,0,0,0.0181932880241258,0.0014910128923159,0,0.0122416920908177,0,0,0,0.0015723408682604,0,9.5322249282701e-4,0,0,0,0,0,0.00487161902752256,0,0.0154786920703025,0,0.0663592322639071,0,9.6421275984654e-4,9.6567812878248e-4,0,0,0,0.0270932062565392,4.3374920503735e-4,0,0.0047939544739179,0,0.213754099369598,0.0822350393158486,0.137071342952015,0,0,0.0126842335094707,0,0,0,0,0.0016119058295307,0,0.00284061768231388,0.207184117745325,0,0.013792785109507,0.147549463528433,0,0,0,0,5.9200905011854e-4,0,0,0.0327224210239412,0,0,0,0.047614232835401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIGR_09F0705_0122,batch_2,09F0705,9,705,2019.05.07,<=80%,T1,5-35m,Himantothallus,grandifolius,1,blade,1ml,Galloway,09S004,NA,HIGR,ochrophyta,NA,9.219765614806e-5,6.5241561765788e-4,5.23495166264409e-5,7.11015822836734e-5,9.29789922171114e-5,1.5236053346501e-4,0,0,0,0.0402700609989069,0.00328083015394665,0,0,0,0.0032269179651821,0,0,0,0.125660717313392,0,0,0,0,0.0219633569010336,0.00104855300466692,0,0.0120317941273218,0,0,0,0.00190255332814005,0,0.00148375719512853,0,0,0,0,0,0.00406997958368852,0,0.010984803794793,0,0.0938306485323774,0,7.2586120814871e-4,0,0,0,0,0.0261927290428086,4.6645763322366e-4,0,0.0040332567884431,0,0.226275706933342,0.0740198725015803,0.126062324052884,0,0,0.00975966883852049,0,0,0,0,0.00183067040978733,0,0.00406138488692895,0.238965386030805,0,0.0103784870052092,0.137113541413546,0,0,0,0,0,0,0,0,0,0,0,0.0455229833911392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
