rowname,Lambia antarctica,Adenocystis utricularis,Ascoseira mirabilis,Cystosphaera jacquinotii,Desmarestia anceps,Desmarestia antarctica,Desmarestia menziesii,Himantothallus grandifolius,Microzonia australe,Austropugetia crassa,Ballia callitricha,Callophyllis atrosanguinea,Curdiea racovitzae,Delisea pulchra,Georgiella confluens,Gymnogongrus antarcticus,Hymenocladiopsis sp.,Iridaea cordata,Meridionella antarctica,Myriogramme manginii,Myriogramme smithii,Pachymenia orbicularis,Palmaria decipiens,Pantoneura plocamioides,Paraglossum salicifolium,Phyllophora antarctica,Picconiella plumosa,Plocamium sp.,Porphyra plocamiestris,Sarcopeltis antarctica,Trematocarpus antarcticus,Benthic diatoms
phylum,Chlorophyta,Ochrophyta,Ochrophyta,Ochrophyta,Ochrophyta,Ochrophyta,Ochrophyta,Ochrophyta,Ochrophyta,Rhodophyta,Rhodophyta,Rhodophyta,Rhodophyta,Rhodophyta,Rhodophyta,Rhodophyta,Rhodophyta,Rhodophyta,Rhodophyta,Rhodophyta,Rhodophyta,Rhodophyta,Rhodophyta,Rhodophyta,Rhodophyta,Rhodophyta,Rhodophyta,Rhodophyta,Rhodophyta,Rhodophyta,Rhodophyta,-
revisedSpecies,Lambia antarctica,Adenocystis utricularis,Ascoseira mirabilis,Cystosphaera jacquinotii,Desmarestia anceps,Desmarestia antarctica,Desmarestia menziesii,Himantothallus grandifolius,Microzonia australe,Austropugetia crassa,Ballia callitricha,Callophyllis atrosanguinea,Curdiea racovitzae,Delisea pulchra,Georgiella confluens,Gymnogongrus antarcticus,Hymenocladiopsis sp.,Iridaea cordata,Meridionella antarctica,Myriogramme manginii,Myriogramme smithii,Pachymenia orbicularis,Palmaria decipiens,Pantoneura plocamioides,Paraglossum salicifolium,Phyllophora antarctica,Picconiella plumosa,Plocamium sp.,Porphyra plocamiestris,Sarcopeltis antarctica,Trematocarpus antarcticus,-
8:0_mean,0.008,0.025,0.002,0.007,0.002,0.003,0.004,0.006,0.001,0.004,0.003,0.004,0.001,0.014,0.007,0.013,0.011,0.026,0.004,0.014,0.010,0.003,0.007,0.011,0.011,0.008,0.001,0.006,0.010,0.022,0.010,-
8:0_sd,0.005,-,0.001,0.002,0.002,0.003,0.002,0.004,0.001,0.000,-,0.002,0.002,-,0.010,0.006,0.009,0.016,0.004,0.004,0.007,0.004,0.005,-,-,0.008,0.002,0.002,0.007,0.015,0.005,-
9:0_mean,0.157,0.616,0.044,0.120,0.124,0.076,0.046,0.034,0.034,0.318,0.352,0.024,0.124,0.522,0.251,0.318,0.301,0.134,0.319,0.198,0.252,0.915,0.087,0.232,0.213,0.049,0.064,0.041,0.358,0.639,0.258,-
9:0_sd,0.067,-,0.023,0.085,0.088,0.074,0.047,0.030,0.016,0.130,-,0.023,0.136,-,0.343,0.396,0.151,0.099,0.327,0.062,0.204,0.660,0.022,-,-,0.039,0.089,0.024,0.490,0.553,0.214,-
10:0_mean,0.013,0.058,0.005,0.011,0.005,0.005,0.005,0.005,0.004,0.013,0.008,0.006,0.012,0.012,0.018,0.021,0.019,0.021,0.008,0.021,0.020,0.022,0.013,0.066,0.018,0.007,0.007,0.015,0.018,0.038,0.018,-
10:0_sd,0.006,-,0.001,0.006,0.002,0.002,0.001,0.001,0.002,0.001,-,0.003,0.006,-,0.026,0.011,0.010,0.009,0.004,0.017,0.014,0.015,0.009,-,-,0.004,0.002,0.003,0.015,0.030,0.016,-
11:0_mean,0.004,0.015,0.003,0.005,0.023,0.009,0.004,0.006,0.002,0.063,0.005,0.013,0.007,0.012,0.021,0.012,0.013,0.014,0.005,0.015,0.060,0.014,0.008,0.031,0.027,0.005,0.007,0.007,0.007,0.016,0.020,-
11:0_sd,0.002,-,0.001,0.003,0.022,0.003,0.002,0.001,0.000,0.015,-,0.003,0.000,-,0.016,0.004,0.005,0.006,0.001,0.009,0.034,0.007,0.005,-,-,0.002,0.005,0.001,0.004,0.008,0.007,-
11:1_mean,0.023,0.107,0.004,0.018,0.007,0.009,0.002,0.007,0.006,0.021,0.016,0.023,0.004,0.016,0.057,0.037,0.033,0.017,0.017,0.037,0.035,0.013,0.021,0.081,0.012,0.015,0.006,0.033,0.029,0.094,0.062,-
11:1_sd,0.020,-,0.002,0.013,0.006,0.008,0.002,0.003,0.003,0.008,-,0.009,0.006,-,0.080,0.024,0.026,0.013,0.005,0.019,0.015,0.019,0.017,-,-,0.007,0.008,0.052,0.025,0.131,0.066,-
12:0_mean,0.091,0.104,0.031,0.027,0.021,0.022,0.022,0.018,0.019,0.091,0.073,0.063,1.163,1.306,0.149,0.106,0.099,0.821,0.055,0.064,0.098,0.159,0.070,1.862,0.209,0.062,0.102,0.698,0.040,0.169,0.096,-
12:0_sd,0.031,-,0.012,0.014,0.015,0.007,0.008,0.004,0.006,0.021,-,0.017,0.030,-,0.069,0.058,0.056,1.096,0.025,0.036,0.069,0.053,0.044,-,-,0.018,0.046,0.061,0.019,0.054,0.055,-
13:0_mean,0.004,0.015,0.004,0.004,0.006,0.009,0.003,0.001,0.000,0.039,0.033,0.000,0.039,0.114,0.022,0.029,0.019,0.027,0.006,0.004,0.008,0.019,0.007,0.053,0.026,0.005,0.015,0.025,0.000,0.017,0.016,-
13:0_sd,0.006,-,0.004,0.004,0.002,0.010,0.003,0.003,0.000,0.003,-,0.000,0.008,-,0.008,0.011,0.006,0.024,0.005,0.008,0.010,0.027,0.008,-,-,0.012,0.007,0.012,0.000,0.014,0.018,-
13:1_mean,0.010,0.019,0.000,0.000,0.000,0.003,0.001,0.000,0.000,0.041,0.000,0.014,0.000,0.000,0.000,0.000,0.008,0.023,0.000,0.000,0.015,0.000,0.021,0.139,0.000,0.005,0.000,0.006,0.000,0.000,0.011,-
13:1_sd,0.021,-,0.000,0.000,0.000,0.007,0.002,0.000,0.000,0.057,-,0.025,0.000,-,0.000,0.000,0.022,0.021,0.000,0.000,0.031,0.000,0.037,-,-,0.011,0.000,0.010,0.000,0.000,0.024,-
14:0_mean, 1.756,10.262, 8.809, 3.070, 3.460, 7.867, 5.138, 4.070, 4.046, 4.280, 4.543, 1.869, 1.898, 5.356, 3.008, 2.710, 2.061, 1.975, 0.863, 2.116, 1.919, 1.104, 7.116, 1.198, 2.874, 1.757, 1.944, 4.460, 0.203, 2.088, 2.365,-
14:0_sd,0.715,-,0.565,0.441,0.480,0.499,1.106,0.520,0.289,1.107,-,0.361,0.237,-,0.467,0.209,0.257,0.303,0.207,0.552,0.596,0.091,0.599,-,-,0.196,0.224,0.169,0.078,0.834,0.835,-
14:1_mean,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.112,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.148,0.000,0.000,0.019,0.000,0.000,0.019,0.000,0.000,-
14:1_sd,0.000,-,0.000,0.000,0.000,0.000,0.024,0.194,0.000,0.000,-,0.000,0.000,-,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.256,-,-,0.042,0.000,0.000,0.038,0.000,0.000,-
15:0_mean,0.089,0.388,0.277,0.226,0.170,0.149,0.152,0.284,0.286,0.496,0.472,0.554,0.238,0.568,0.290,0.698,0.649,0.279,0.856,0.313,0.271,0.357,0.550,0.322,0.497,0.397,0.430,0.277,0.077,0.456,0.390,-
15:0_sd,0.037,-,0.052,0.047,0.082,0.027,0.032,0.046,0.071,0.031,-,0.037,0.004,-,0.095,0.102,0.189,0.048,0.119,0.078,0.092,0.053,0.139,-,-,0.051,0.019,0.074,0.022,0.050,0.118,-
16:0_mean,16.705,17.967, 9.497,17.578,11.735, 9.533,12.490,14.411,11.576,22.493,25.024,26.867,22.823,26.362,25.717,31.874,31.172,28.894,39.173,27.796,27.403,29.280,14.346,28.083,30.877,24.969,30.262,22.202,21.845,32.621,30.546,-
16:0_sd,1.493,-,0.323,0.649,1.579,2.264,2.029,1.358,0.898,0.962,-,3.212,0.496,-,0.079,1.149,2.272,3.462,1.396,4.839,5.282,0.984,1.143,-,-,1.972,0.730,0.607,0.481,4.046,3.000,-
