rowname,Lambia antarctica,Adenocystis utricularis,Ascoseira mirabilis,Cystosphaera jacquinotii,Desmarestia anceps,Desmarestia antarctica,Desmarestia menziesii,Himantothallus grandifolius,Microzonia australe,Austropugetia crassa,Ballia callitricha,Callophyllis atrosanguinea,Curdiea racovitzae,Delisea pulchra,Georgiella confluens,Gymnogongrus antarcticus,Hymenocladiopsis sp.,Iridaea cordata,Meridionella antarctica,Myriogramme manginii,Myriogramme smithii,Pachymenia orbicularis,Palmaria decipiens,Pantoneura plocamioides,Paraglossum salicifolium,Phyllophora antarctica,Picconiella plumosa,Plocamium sp.,Porphyra plocamiestris,Sarcopeltis antarctica,Trematocarpus antarcticus,Benthic diatoms
8:0_sd,0.005,-,0.001,0.002,0.002,0.003,0.002,0.004,0.001,0.000,-,0.002,0.002,-,0.010,0.006,0.009,0.016,0.004,0.004,0.007,0.004,0.005,-,-,0.008,0.002,0.002,0.007,0.015,0.005,-
9:0_sd,0.067,-,0.023,0.085,0.088,0.074,0.047,0.030,0.016,0.130,-,0.023,0.136,-,0.343,0.396,0.151,0.099,0.327,0.062,0.204,0.660,0.022,-,-,0.039,0.089,0.024,0.490,0.553,0.214,-
10:0_sd,0.006,-,0.001,0.006,0.002,0.002,0.001,0.001,0.002,0.001,-,0.003,0.006,-,0.026,0.011,0.010,0.009,0.004,0.017,0.014,0.015,0.009,-,-,0.004,0.002,0.003,0.015,0.030,0.016,-
11:0_sd,0.002,-,0.001,0.003,0.022,0.003,0.002,0.001,0.000,0.015,-,0.003,0.000,-,0.016,0.004,0.005,0.006,0.001,0.009,0.034,0.007,0.005,-,-,0.002,0.005,0.001,0.004,0.008,0.007,-
11:1_sd,0.020,-,0.002,0.013,0.006,0.008,0.002,0.003,0.003,0.008,-,0.009,0.006,-,0.080,0.024,0.026,0.013,0.005,0.019,0.015,0.019,0.017,-,-,0.007,0.008,0.052,0.025,0.131,0.066,-
12:0_sd,0.031,-,0.012,0.014,0.015,0.007,0.008,0.004,0.006,0.021,-,0.017,0.030,-,0.069,0.058,0.056,1.096,0.025,0.036,0.069,0.053,0.044,-,-,0.018,0.046,0.061,0.019,0.054,0.055,-
13:0_sd,0.006,-,0.004,0.004,0.002,0.010,0.003,0.003,0.000,0.003,-,0.000,0.008,-,0.008,0.011,0.006,0.024,0.005,0.008,0.010,0.027,0.008,-,-,0.012,0.007,0.012,0.000,0.014,0.018,-
13:1_sd,0.021,-,0.000,0.000,0.000,0.007,0.002,0.000,0.000,0.057,-,0.025,0.000,-,0.000,0.000,0.022,0.021,0.000,0.000,0.031,0.000,0.037,-,-,0.011,0.000,0.010,0.000,0.000,0.024,-
14:0_sd,0.715,-,0.565,0.441,0.480,0.499,1.106,0.520,0.289,1.107,-,0.361,0.237,-,0.467,0.209,0.257,0.303,0.207,0.552,0.596,0.091,0.599,-,-,0.196,0.224,0.169,0.078,0.834,0.835,-
14:1_sd,0.000,-,0.000,0.000,0.000,0.000,0.024,0.194,0.000,0.000,-,0.000,0.000,-,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.256,-,-,0.042,0.000,0.000,0.038,0.000,0.000,-
15:0_sd,0.037,-,0.052,0.047,0.082,0.027,0.032,0.046,0.071,0.031,-,0.037,0.004,-,0.095,0.102,0.189,0.048,0.119,0.078,0.092,0.053,0.139,-,-,0.051,0.019,0.074,0.022,0.050,0.118,-
16:0_sd,1.493,-,0.323,0.649,1.579,2.264,2.029,1.358,0.898,0.962,-,3.212,0.496,-,0.079,1.149,2.272,3.462,1.396,4.839,5.282,0.984,1.143,-,-,1.972,0.730,0.607,0.481,4.046,3.000,-
16:1w7c_sd,3.365,-,0.147,0.187,3.434,1.206,2.427,0.672,2.226,0.440,-,0.966,0.035,-,0.383,0.509,0.712,0.708,0.747,0.618,0.591,0.022,2.286,-,-,4.899,0.088,4.677,0.170,0.610,0.393,-
16:2w6_sd,0.618,-,0.051,0.072,0.188,0.217,0.385,0.036,0.198,0.018,-,0.023,0.014,-,0.040,0.026,0.074,0.086,0.068,0.021,0.064,0.024,0.752,-,-,0.338,0.262,0.514,0.004,0.062,0.055,-
17:0_sd,0.010,-,0.011,0.021,0.028,0.009,0.019,0.021,0.046,0.025,-,0.008,0.002,-,0.014,0.058,0.058,0.021,0.033,0.028,0.033,0.032,0.025,-,-,0.062,0.011,0.022,0.013,0.029,0.038,-
16:3w4_sd,1.596,-,0.011,0.015,0.085,0.077,0.493,0.029,0.628,0.008,-,0.129,0.003,-,0.069,0.023,0.117,0.133,0.123,0.052,0.094,0.000,0.565,-,-,0.353,0.463,0.804,0.008,0.096,0.143,-
16:3w3_sd,8.652,-,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-,0.000,0.000,-,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-,-,0.000,0.000,0.000,0.000,0.000,0.000,-
16:4w3_sd,0.186,-,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-,0.000,0.000,-,0.000,0.000,0.000,0.000,0.142,0.000,0.000,0.000,0.000,-,-,0.033,0.000,0.000,0.000,0.000,0.000,-
16:4w1_sd,1.330,-,0.075,0.029,0.882,0.112,1.009,0.055,0.213,0.000,-,0.035,0.043,-,0.098,0.023,0.110,0.175,0.118,0.014,0.121,0.000,1.799,-,-,0.558,0.458,0.909,0.000,0.163,0.170,-
18:0_sd,0.322,-,0.142,0.702,0.541,0.468,1.029,0.155,0.127,0.091,-,0.232,0.210,-,0.839,1.538,0.485,0.450,1.488,1.347,0.380,1.460,0.786,-,-,0.129,0.187,0.652,0.777,1.935,1.295,-
18:1w9c_sd,0.245,-,1.229,0.615,0.866,3.808,3.000,0.882,0.051,0.618,-,0.306,0.346,-,0.800,0.569,0.522,1.473,0.338,0.768,0.251,0.716,0.627,-,-,0.394,0.536,0.247,0.382,1.534,0.353,-
18:1w7c_sd,1.573,-,0.000,0.028,0.184,0.040,0.100,0.038,0.026,0.051,-,0.117,0.252,-,0.193,0.081,0.433,0.365,0.284,1.625,2.375,0.062,0.381,-,-,0.478,0.512,0.073,0.165,0.328,0.091,-
18:2w6c_sd,0.793,-,0.551,0.895,1.903,1.725,1.334,1.357,0.872,0.075,-,0.141,0.256,-,0.380,0.049,0.509,0.491,0.024,0.229,0.399,0.095,0.119,-,-,0.221,0.009,0.328,0.655,0.050,0.075,-
18:3w6_sd,0.075,-,0.104,0.096,0.177,0.263,0.184,0.033,0.149,0.000,-,0.021,0.233,-,0.017,0.041,0.216,0.156,0.195,0.045,0.098,0.000,0.060,-,-,0.059,0.034,0.126,0.065,0.079,0.036,-
18:3w3_sd,7.001,-,0.706,1.573,1.495,1.173,1.603,0.414,0.612,0.067,-,0.146,0.018,-,0.406,0.000,0.049,0.152,0.177,0.110,0.392,0.000,0.194,-,-,0.087,0.107,0.264,0.117,0.000,0.032,-
18:4w3c_sd,0.297,-,1.194,2.218,2.977,4.097,2.971,2.030,2.153,0.020,-,0.148,0.004,-,0.197,0.140,0.013,0.059,0.509,0.081,0.902,0.000,0.680,-,-,0.293,0.088,0.614,0.084,0.000,0.049,-
20:0_sd,0.011,-,0.000,0.000,0.000,0.176,0.833,0.845,0.000,0.000,-,0.010,0.000,-,0.000,0.000,0.000,0.025,0.000,0.011,0.000,0.000,0.000,-,-,0.008,0.000,0.051,0.000,0.000,0.006,-
20:1w9_sd,0.094,-,0.013,0.000,0.000,0.000,0.001,0.000,0.368,0.059,-,0.001,0.010,-,0.057,0.000,0.000,0.031,0.071,0.000,0.000,0.000,0.130,-,-,0.016,0.038,0.019,0.729,0.000,0.000,-
20:2w6_sd,0.025,-,0.007,0.049,0.075,0.018,0.045,0.016,0.157,0.000,-,0.016,0.102,-,0.011,0.034,0.021,0.226,0.033,0.033,0.071,0.000,0.000,-,-,0.019,0.057,0.019,0.496,0.000,0.009,-
20:3w6_sd,0.029,-,0.155,0.086,0.099,0.372,0.210,0.216,0.061,0.038,-,0.001,0.191,-,0.020,0.145,0.097,0.814,0.184,0.031,0.038,0.020,0.053,-,-,0.032,0.102,0.812,0.266,0.000,0.048,-
20:4w6_sd, 0.532,-, 0.227, 2.448, 0.544, 5.341, 2.897, 3.981, 1.195, 0.611,-, 2.596, 4.819,-, 0.970, 0.261, 1.837, 6.123, 0.054, 0.904, 1.428, 1.267, 0.250,-,-,19.171, 0.278, 0.838, 1.108, 9.382, 5.359,-
20:3w3_sd,0.044,-,0.101,0.057,0.000,0.026,0.088,0.108,0.000,0.000,-,0.000,0.000,-,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-,-,0.000,0.000,0.000,0.194,0.000,0.000,-
20:5w3_sd, 7.562,-, 1.084, 1.789, 3.360, 1.666, 3.033, 1.002, 1.115, 1.111,-, 1.989, 3.237,-, 3.030, 0.875, 2.598, 4.696, 1.616, 9.054,10.818, 1.219, 7.779,-,-,12.748, 0.251, 5.381, 4.397,10.510, 4.987,-
22:0_sd,0.000,-,0.122,0.203,0.015,0.005,0.015,0.017,0.000,0.036,-,0.007,0.062,-,0.000,0.000,0.004,0.027,0.000,0.042,0.024,0.013,0.046,-,-,0.004,0.015,0.297,0.000,0.000,0.000,-
